Category,NaturalLanguageQuestion,CypherQuery,CypherToQuestion
Multi-hop Queries,What software is used in campaigns attributed to 'APT29'?,MATCH (g:UcoexGROUPS {ucoexNAME: 'APT29'})<-[:UCOEXATTRIBUTEDTO]-(c:UcoexCAMPAIGNS)-[:UCOEXCAMPAIGNUSESSOFTWARE]->(s:UcoexSOFTWARE) RETURN s.ucoexNAME,What software is used in campaigns run by 'APT29'?
Multi-hop Queries,Find the CWE weakness associated with exploit targets vulnerable to 'CVE-2020-0601'.,"MATCH (c:UcoCVE {label: 'CVE-2020-0601'})<-[:UCOHASCVE_ID]-(v:UcoVulnerability)<-[:UCOHASVULNERABILITY]-(et:UcoExploitTarget)-[:UCOHASWEAKNESS]->(w:UcoCWE) RETURN w.ucocweID, w.ucocweName",What weakness (CWE) is linked to exploit targets for 'CVE-2020-0601'?
Multi-hop Queries,What mitigations are suggested for techniques used by 'Lazarus Group'?,"MATCH (g:UcoexGROUPS {ucoexNAME: 'Lazarus Group'})-[:UCOEXGROUPUSESTECHNIQUE]->(t:UcoexMITREATTACK)<-[:UCOEXMITIGATES]-(m:UcoexMITIGATIONS) RETURN t.ucoexNAME, m.ucoexNAME",What mitigations stop the techniques used by 'Lazarus Group'?
Multi-hop Queries,Which threat groups use techniques that are countered by the D3FEND technique 'D3-SDA' (System Call Analysis)?,MATCH (g:UcoexGROUPS)-[:UCOEXGROUPUSESTECHNIQUE]->(t:UcoexMITREATTACK)<-[:UCOEXHASMITREATTACK]-(d:UcoexMITRED3FEND {ucoexMITRED3FEND_LABEL: 'D3-SDA'}) RETURN g.ucoexNAME,Which threat groups use techniques that 'D3-SDA' (System Call Analysis) can counter?
Multi-hop Queries,What CPEs (products) are affected by 'CVE-2017-0199'?,MATCH (c:UcoCVE {label: 'CVE-2017-0199'})-[:UCOEXHASCPE]->(cpe:UcoexCPE) RETURN cpe.uri,What products (CPEs) are affected by 'CVE-2017-0199'?
Multi-hop Queries,What campaigns have used software also used by 'FIN7'?,MATCH (g:UcoexGROUPS {ucoexNAME: 'FIN7'})-[:UCOEXGROUPUSESSOFTWARE]->(s:UcoexSOFTWARE)<-[:UCOEXCAMPAIGNUSESSOFTWARE]-(c:UcoexCAMPAIGNS) RETURN DISTINCT c.ucoexNAME,What campaigns use the same software as 'FIN7'?
Multi-hop Queries,"What techniques are used in the 'SolarWinds Orion' campaign, and which group is attributed?","MATCH (g:UcoexGROUPS)<-[:UCOEXATTRIBUTEDTO]-(c:UcoexCAMPAIGNS {ucoexNAME: 'SolarWinds Orion'})-[:UCOEXCAMPAIGNUSESTECHNIQUE]->(t:UcoexMITREATTACK) RETURN g.ucoexNAME, t.ucoexNAME","What techniques were used in the 'SolarWinds Orion' campaign, and which group ran it?"
Multi-hop Queries,What CVEs are associated with targets that have 'CWE-125' (Out-of-bounds Read)?,MATCH (w:UcoCWE {ucocweID: 'CWE-125'})<-[:UCOHASWEAKNESS]-(et:UcoExploitTarget)-[:UCOHASVULNERABILITY]->(v:UcoVulnerability)-[:UCOHASCVE_ID]->(c:UcoCVE) RETURN c.label,What CVEs are linked to targets vulnerable to 'CWE-125' (Out-of-bounds Read)?
Aggregation and Counting,Count the number of distinct software tools used by each threat group.,"MATCH (g:UcoexGROUPS)-[r:UCOEXGROUPUSESSOFTWARE]->(s:UcoexSOFTWARE) RETURN g.ucoexNAME, count(DISTINCT s) AS softwareCount ORDER BY softwareCount DESC",Rank threat groups by the number of different software tools they use.
Aggregation and Counting,What is the average exploitability score for all 'CRITICAL' CVEs?,MATCH (c:UcoCVE {ucobaseSeverity: 'CRITICAL'}) WHERE c.ucoexploitabilityScore IS NOT NULL RETURN avg(toFloat(c.ucoexploitabilityScore)) AS averageExploitability,What's the average exploitability score for 'CRITICAL' CVEs?
Aggregation and Counting,List the top 10 techniques with the most mitigations.,"MATCH (m:UcoexMITIGATIONS)-[:UCOEXMITIGATES]->(t:UcoexMITREATTACK) RETURN t.ucoexNAME, count(m) AS mitigationCount ORDER BY mitigationCount DESC LIMIT 10",What are the top 10 techniques with the most mitigations?
Aggregation and Counting,How many threat groups use the 'T1078' (Valid Accounts) technique?,MATCH (g:UcoexGROUPS)-[:UCOEXGROUPUSESTECHNIQUE]->(t:UcoexMITREATTACK {ucoexNAME: 'Valid Accounts'}) RETURN count(g) AS groupCount,How many groups use the 'Valid Accounts' (T1078) technique?
Aggregation and Counting,Count the number of campaigns attributed to each threat group.,"MATCH (g:UcoexGROUPS)<-[r:UCOEXATTRIBUTEDTO]-(c:UcoexCAMPAIGNS) RETURN g.ucoexNAME, count(r) AS campaignCount ORDER BY campaignCount DESC",Count how many campaigns are linked to each threat group.
Aggregation and Counting,How many techniques are associated with 'Mimikatz'?,MATCH (s:UcoexSOFTWARE {ucoexNAME: 'Mimikatz'})-[:UCOEXSOFTWAREUSESTECHNIQUE]->(t:UcoexMITREATTACK) RETURN count(t) AS techniqueCount,How many attack techniques are associated with 'Mimikatz'?
Aggregation and Counting,How many CWEs are associated with the 'Class' abstraction?,MATCH (w:UcoCWE {ucoabstraction: 'Class'}) RETURN count(w) AS cweClassCount,How many 'Class' type weaknesses (CWEs) are there?
Aggregation and Counting,"What is the minimum, maximum, and average impact score for CVEs published in 2022?","MATCH (v:UcoVulnerability)-[:UCOHASCVE_ID]->(c:UcoCVE) WHERE v.ucopublishedDateTime STARTS WITH '2022' AND c.ucoimpactScore IS NOT NULL RETURN min(toFloat(c.ucoimpactScore)) AS minScore, max(toFloat(c.ucoimpactScore)) AS maxScore, avg(toFloat(c.ucoimpactScore)) AS avgScore","For CVEs published in 2022, what are the min, max, and average impact scores?"
Aggregation and Counting,Count the number of observed examples for each CWE.,"MATCH (w:UcoCWE)-[:UCOHASOBSERVEDEXAMPLE]->(o:UcoexObservedExample) RETURN w.ucocweID, count(o) AS exampleCount ORDER BY exampleCount DESC","Show how many real-world examples each weakness (CWE) has, ranked."
Aggregation and Counting,How many CPEs are associated with 'CVE-2021-44228'?,MATCH (c:UcoCVE {label: 'CVE-2021-44228'})-[:UCOEXHASCPE]->(cpe:UcoexCPE) RETURN count(cpe) AS cpeCount,How many products (CPEs) are affected by 'CVE-2021-44228'?
Aggregation and Counting,What is the total number of 'Enterprise' domain techniques?,MATCH (t:UcoexMITREATTACK {ucoexDOMAIN: 'Enterprise'}) RETURN count(t) AS enterpriseTechniqueCount,What's the total number of 'Enterprise' attack techniques?
Aggregation and Counting,How many threat groups have at least one campaign attributed to them?,MATCH (g:UcoexGROUPS)<-[:UCOEXATTRIBUTEDTO]-(:UcoexCAMPAIGNS) RETURN count(DISTINCT g) AS groupsWithCampaigns,How many threat groups are responsible for at least one campaign?
