Title,Document,Identifier,Group
"Analysis of cyberattack on U.S. think tanks, non-profits, public sector by unidentified attackers",AnalysisOfCyberattackOnUS.pdf,MICROSOFT,APT29
COSMICDUKE Cosmu with a twist of MiniDuke,CosmicDuke.pdf,COSMIC,APT29
CrowdStrike’s work with the Democratic National Committee: Setting the record straight,CrowdStrike.pdf,CROWD,APT29
THE DUKES 7 YEARS OF RUSSIAN CYBERESPIONAGE,F-Secure_Dukes_Whitepaper.pdf,DUKES,APT29
"“Forkmeiamfamous”: Seaduke, latest weapon in the Duke armory",ForkMeIAmFamous.pdf,FORK,APT29
GRIZZLY STEPPE – Russian Malicious Cyber Activity,GrizzlySteppe.pdf,GRIZZLY,APT29
Not So Cozy: An Uncomfortable Examination of a Suspected APT29 Phishing Campaign,NotSoCozy.pdf,COZY,APT29
PowerDuke: Widespread Post-Election Spear Phishing Campaigns Targeting Think Tanks and NGOs,PowerDukeWidespreadSpearPhishingCampaigns.pdf,POWER,APT29
Unit 42 Technical Analysis: Seaduke,Seaduke.pdf,SEA,APT29
The CozyDuke APT,TheCozyDukeAPT.pdf,COZY2,APT29
The MiniDuke Mystery: PDF 0-day Government Spy Assembler 0x29A Micro Backdoor,TheMiniDukeMystery.pdf,MYSTERY,APT29
Dissecting One of APT29's Fileless WMI and PowerShell Backdoors (POSHSPY),WMIPowerShellBackdoors_POSHSPY.pdf,POSH,APT29
An APT Blueprint: Gaining New Visibility into Financial Threats,Bitdefender-WhitePaper-An-APT-Blueprint-Gaining-New-Visibility-into-Financial-Threats-interactive.pdf,BITDEFENDER,CARBANAK
Alleged Mastermind Behind Carbanak Crime Gang Arrested,Alleged Mastermind Behind Carbanak Crime Gang Arrested - Threatpost.pdf,THREATPOST,CARBANAK
Arrests Put New Focus on CARBON SPIDER Adversary Group,Arrests Put New Focus on CARBON SPIDER Adversary Group.pdf,CROWD,CARBANAK
Operation Grand Mars: a comprehensive profile of Carbanak activity in 2016/17,Operation Grand Mars a comprehensive profile of Carbanak activity in 2016-17.pdf,TRUSTWAVE1,CARBANAK
The Great Bank Robbery: the Carbanak APT,The Great Bank Robbery the Carbanak APT - Securelist.pdf,KASPERSKY1,CARBANAK
CARBANAK APT THE GREAT BANK ROBBERY,Carbanak_APT_eng.pdf,KASPERSKY2,CARBANAK
Behind the CARBANAK Backdoor,Behind the CARBANAK Backdoor - Mandiant.pdf,FIREEYE1,CARBANAK
New Carbanak / Anunak Attack Methodology,New Carbanak - Anunak Attack Methodology.pdf,TRUSTWAVE2,CARBANAK
Carbanak Continues To Evolve: Quietly Creeping into Remote Hosts,Carbanak Continues To Evolve_ Quietly Creeping into Remote Hosts.pdf,TRUSTWAVE3,CARBANAK
Carbanak Group uses Google for malware command-and-control,Carbanak Group uses Google for Malware C&C - Forcepoint.pdf,FORCEPOINT,CARBANAK
FOLLOW THE MONEY: DISSECTING THE OPERATIONS OF THE CYBER CRIME GROUP FIN6,rpt-fin6-1.pdf,RPT1,FIN6
FIN6 Cybercrime Group Expands Threat to eCommerce Merchants,fin6-cybercrime-group-expands-threat-To-ecommerce-merchants.pdf,VISA,FIN6
FIN6 group goes from compromising PoS systems to deploying ransomware,FIN6-Cyware.pdf,CYWARE,FIN6
"Navigating the MAZE: Tactics, Techniques and Procedures Associated With MAZE Ransomware Incidents",FIN6-Maze.pdf,MAZE,FIN6
New Global Cyber Attack on Point of Sale Systems,FIN6-Morphisec.pdf,MORPHISEC,FIN6
"ITG08 (aka FIN6) Partners With TrickBot Gang, Uses Anchor Framework",FIN6-Security_Intelligence_8.pdf,SECURITYINTELLIGENCE8,FIN6
"More_eggs, Anyone? Threat Actor ITG08 Strikes Again",FIN6-SecurityIntelligence_9.pdf,SECURITYINTELLIGENCE9,FIN6
"Pick-Six: Intercepting a FIN6 Intrusion, an Actor Recently Tied to Ryuk and LockerGoga Ransomware",Pick-Six Intercepting a FIN6 Intrusion.pdf,PICK,FIN6
Another Victim Of The Magecart Assault Emerges: Newegg,AnotherVictimOfTheMagecartAssaultEmerges.pdf,ANOTHERVICTIM,FIN6
"Inside the Breach of British Airways: How 22 Lines of Code Claimed 380,000 Victims. How We Used Machine Learning to to Pinpoint the Magecart Crime Syndicate.",InsideTheBreachOfBritishAirways.pdf,INSIDETHEBREACH,FIN6
Magecart Card Skimmers Injected Into Online Shops,MagecartCardSkimmersInjectedIntoOnlineShops.pdf,MAGECART,FIN6
Fake Jobs: Campaigns Delivering More_eggs Backdoor via Fake Job Offers,MoreEggsBackdoorProofpoint.pdf,MOREEGGS,FIN6
Cyberthreats to financial institutions 2020: Overview and predictions,Cyberthreats to financial institutions 2020_ Overview and predictions _ Securelist.pdf,KASPERKY1,FIN7
