Category,NaturalLanguageQuestion,CypherQuery,generated_question,ExpectedNodeLabels,ExpectedRelationshipTypes,ExpectedProperties,Hops,ExtractedPropertyValues
Node Lookup Queries,Find the Exploit Target with the URI 'http://example.com/target1'.,MATCH (n:UcoExploitTarget {uri: 'http://example.com/target1'}) RETURN n,Show me all the information for the specific exploit target with the URI 'http://example.com/target1'.,"[""UcoExploitTarget""]",[],"[""uri""]",0,"[""http://example.com/target1""]"
Node Lookup Queries,List all known Exploit Targets.,MATCH (n:UcoExploitTarget) RETURN n.uri,Get a list of all URIs for every exploit target in the database.,"[""UcoExploitTarget""]",[],"[""uri""]",0,[]
Node Lookup Queries,Find all Exploit Targets whose URI contains 'gov'.,MATCH (n:UcoExploitTarget) WHERE n.uri CONTAINS 'gov' RETURN n.uri,Which exploit target URIs have the text 'gov' in them?,"[""UcoExploitTarget""]",[],"[""uri""]",0,"[""gov""]"
Node Lookup Queries,Find the CPE record for 'cpe:2.3:o:microsoft:windows_10'.,MATCH (n:UcoexCPE {cpeNameId: 'cpe:2.3:o:microsoft:windows_10'}) RETURN n,Show all data for the specific software record (CPE) identified by 'cpe:2.3:o:microsoft:windows_10'.,"[""UcoexCPE""]",[],"[""cpeNameId""]",0,"[""cpe:2.3:o:microsoft:windows_10""]"
Node Lookup Queries,Get the CPE details for the name 'Microsoft Windows 10'.,"MATCH (n:UcoexCPE {cpeName: 'Microsoft Windows 10'}) RETURN n.cpeNameId, n.titles, n.lastModified","For the software entry named 'Microsoft Windows 10', what is its CPE ID, list of titles, and last modified date?","[""UcoexCPE""]",[],"[""cpeName"", ""cpeNameId"", ""lastModified"", ""titles""]",0,"[""Microsoft Windows 10""]"
Node Lookup Queries,Find all CPEs with 'Adobe Acrobat' in their titles.,"MATCH (n:UcoexCPE) WHERE n.titles CONTAINS 'Adobe Acrobat' RETURN n.cpeNameId, n.titles",Which software records (CPEs) mention 'Adobe Acrobat' in their titles? Show their CPE ID and the full titles.,"[""UcoexCPE""]",[],"[""cpeNameId"", ""titles""]",0,"[""Adobe Acrobat""]"
Node Lookup Queries,Find all CPEs last modified on '2023-10-27T18:10:00Z'.,"MATCH (n:UcoexCPE {lastModified: '2023-10-27T18:10:00Z'}) RETURN n.cpeNameId, n.titles",Which software records (CPEs) were last modified at the exact time '2023-10-27T18:10:00Z'? Show their ID and titles.,"[""UcoexCPE""]",[],"[""cpeNameId"", ""lastModified"", ""titles""]",0,"[""2023-10-27T18:10:00Z""]"
Node Lookup Queries,Get the definition for the MITRE D3FEND technique labeled 'D3FEND-Label-123'.,MATCH (n:UcoexMITRED3FEND {ucoexMITRED3FEND_LABEL: 'D3FEND-Label-123'}) RETURN n.ucoexMITRED3FEND_DEFINITION,What is the definition for the MITRE D3FEND defense technique with the label 'D3FEND-Label-123'?,"[""UcoexMITRED3FEND""]",[],"[""ucoexMITRED3FEND_DEFINITION"", ""ucoexMITRED3FEND_LABEL""]",0,"[""D3FEND-Label-123""]"
Node Lookup Queries,Find all MITRE D3FEND techniques that mention 'decoy' in their definition.,"MATCH (n:UcoexMITRED3FEND) WHERE n.ucoexMITRED3FEND_DEFINITION CONTAINS 'decoy' RETURN n.ucoexMITRED3FEND_LABEL, n.ucoexMITRED3FEND_DEFINITION",Which MITRE D3FEND defense techniques include the word 'decoy' in their definition? Show the label and the full definition.,"[""UcoexMITRED3FEND""]",[],"[""ucoexMITRED3FEND_DEFINITION"", ""ucoexMITRED3FEND_LABEL""]",0,"[""decoy""]"
Node Lookup Queries,List all MITRE D3FEND technique labels.,MATCH (n:UcoexMITRED3FEND) RETURN n.ucoexMITRED3FEND_LABEL,Show me a complete list of all MITRE D3FEND technique labels.,"[""UcoexMITRED3FEND""]",[],"[""ucoexMITRED3FEND_LABEL""]",0,[]
