sample_id,question,hop_count,question_type,first_node,first_found,second_node,second_found,third_node,third_found,coverage_count,total_gold_nodes,recall,precision,f1,key_entities_count,num_sources,nodes_found,gold_nodes
1,How could Improper Handling of Windows Device Names lead to ...,0,"<s,*,*>",http://purl.org/cyber/uco#CWE-67,No,,No,,No,0,1,0.0000,0.0000,0.0000,5,2,,http://purl.org/cyber/uco#CWE-67
2,What causes Improper Handling of Windows Device Names to esc...,0,"<s,*,*>",http://purl.org/cyber/uco#CWE-67,No,,No,,No,0,1,0.0000,0.0000,0.0000,5,2,,http://purl.org/cyber/uco#CWE-67
3,How could attackers exploit Improper Handling of Windows Dev...,0,"<s,*,*>",http://purl.org/cyber/uco#CWE-67,No,,No,,No,0,1,0.0000,0.0000,0.0000,6,2,,http://purl.org/cyber/uco#CWE-67
4,Which factors make Improper Handling of Windows Device Names...,0,"<s,*,*>",http://purl.org/cyber/uco#CWE-67,No,,No,,No,0,1,0.0000,0.0000,0.0000,5,2,,http://purl.org/cyber/uco#CWE-67
5,How might Improper Handling of Windows Device Names enable u...,0,"<s,*,*>",http://purl.org/cyber/uco#CWE-67,No,,No,,No,0,1,0.0000,0.0000,0.0000,6,2,,http://purl.org/cyber/uco#CWE-67
6,How could Timestamp Request help an adversary undermine time...,0,"<s,*,*>",https://capec.mitre.org/data/definitions/295.html,No,,No,,No,0,1,0.0000,0.0000,0.0000,6,2,,https://capec.mitre.org/data/definitions/295.html
7,What causes Timestamp Request to expose weaknesses in time-d...,0,"<s,*,*>",https://capec.mitre.org/data/definitions/295.html,No,,No,,No,0,1,0.0000,0.0000,0.0000,6,2,,https://capec.mitre.org/data/definitions/295.html
8,How might Timestamp Request support broader reconnaissance o...,0,"<s,*,*>",https://capec.mitre.org/data/definitions/295.html,No,,No,,No,0,1,0.0000,0.0000,0.0000,11,2,,https://capec.mitre.org/data/definitions/295.html
9,Which factors make Timestamp Request effective for probing s...,0,"<s,*,*>",https://capec.mitre.org/data/definitions/295.html,No,,No,,No,0,1,0.0000,0.0000,0.0000,5,2,,https://capec.mitre.org/data/definitions/295.html
10,How could Timestamp Request be combined with other technique...,0,"<s,*,*>",https://capec.mitre.org/data/definitions/295.html,No,,No,,No,0,1,0.0000,0.0000,0.0000,11,2,,https://capec.mitre.org/data/definitions/295.html
11,How could SocGholish enable broader intrusion through its dr...,0,"<s,*,*>",http://example.com/ucoex#S1124,No,,No,,No,0,1,0.0000,0.0000,0.0000,6,2,,http://example.com/ucoex#S1124
12,What causes SocGholish to be effective for initial access ac...,0,"<s,*,*>",http://example.com/ucoex#S1124,No,,No,,No,0,1,0.0000,0.0000,0.0000,4,2,,http://example.com/ucoex#S1124
13,How might SocGholish facilitate deployment of secondary rans...,0,"<s,*,*>",http://example.com/ucoex#S1124,No,,No,,No,0,1,0.0000,0.0000,0.0000,6,2,,http://example.com/ucoex#S1124
14,Which factors make SocGholish attractive for groups purchasi...,0,"<s,*,*>",http://example.com/ucoex#S1124,No,,No,,No,0,1,0.0000,0.0000,0.0000,6,2,,http://example.com/ucoex#S1124
15,How could SocGholish’s masqueraded updates expand an adversa...,0,"<s,*,*>",http://example.com/ucoex#S1124,No,,No,,No,0,1,0.0000,0.0000,0.0000,6,2,,http://example.com/ucoex#S1124
16,How could APT39 expand its surveillance reach across targete...,0,"<s,*,*>",http://example.com/ucoex#G0087,No,,No,,No,0,1,0.0000,0.0000,0.0000,6,2,,http://example.com/ucoex#G0087
17,What causes APT39 to focus heavily on travel and telecommuni...,0,"<s,*,*>",http://example.com/ucoex#G0087,No,,No,,No,0,1,0.0000,0.0000,0.0000,5,2,,http://example.com/ucoex#G0087
18,How might APT39 leverage industry data to track high-value i...,0,"<s,*,*>",http://example.com/ucoex#G0087,No,,No,,No,0,1,0.0000,0.0000,0.0000,6,2,,http://example.com/ucoex#G0087
19,Which factors make APT39 persistent across diverse geographi...,0,"<s,*,*>",http://example.com/ucoex#G0087,No,,No,,No,0,1,0.0000,0.0000,0.0000,6,2,,http://example.com/ucoex#G0087
20,How could APT39’s long-term operations influence regional es...,0,"<s,*,*>",http://example.com/ucoex#G0087,No,,No,,No,0,1,0.0000,0.0000,0.0000,5,2,,http://example.com/ucoex#G0087
21,How could Audio Capture help adversaries intercept sensitive...,0,"<s,*,*>",http://example.com/ucoex#T1123,No,,No,,No,0,1,0.0000,0.0000,0.0000,5,2,,http://example.com/ucoex#T1123
22,What causes Audio Capture to be especially effective on comp...,0,"<s,*,*>",http://example.com/ucoex#T1123,No,,No,,No,0,1,0.0000,0.0000,0.0000,4,2,,http://example.com/ucoex#T1123
23,How might Audio Capture be combined with other techniques fo...,0,"<s,*,*>",http://example.com/ucoex#T1123,No,,No,,No,0,1,0.0000,0.0000,0.0000,12,2,,http://example.com/ucoex#T1123
24,Which factors influence how stealthy an Audio Capture operat...,0,"<s,*,*>",http://example.com/ucoex#T1123,No,,No,,No,0,1,0.0000,0.0000,0.0000,5,2,,http://example.com/ucoex#T1123
25,How could Audio Capture support long-term monitoring of targ...,0,"<s,*,*>",http://example.com/ucoex#T1123,No,,No,,No,0,1,0.0000,0.0000,0.0000,4,2,,http://example.com/ucoex#T1123
26,How does the Cellular Rogue Base Station attack exploit sign...,0,"<s,*,*>",https://capec.mitre.org/data/definitions/617.html,Yes,,No,,No,1,1,1.0000,0.1111,0.2000,9,2,https://capec.mitre.org/data/definitions/617.html,https://capec.mitre.org/data/definitions/617.html
27,What authentication weaknesses enable Cellular Rogue Base St...,0,"<s,*,*>",https://capec.mitre.org/data/definitions/617.html,Yes,,No,,No,1,1,1.0000,0.1667,0.2857,6,2,https://capec.mitre.org/data/definitions/617.html,https://capec.mitre.org/data/definitions/617.html
28,Which cellular security controls can mitigate Cellular Rogue...,0,"<s,*,*>",https://capec.mitre.org/data/definitions/617.html,Yes,,No,,No,1,1,1.0000,0.2500,0.4000,4,2,https://capec.mitre.org/data/definitions/617.html,https://capec.mitre.org/data/definitions/617.html
29,How does Collect Data from Registries exploit authorization ...,0,"<s,*,*>",https://capec.mitre.org/data/definitions/647.html,No,,No,,No,0,1,0.0000,0.0000,0.0000,5,2,,https://capec.mitre.org/data/definitions/647.html
30,What system configuration data can attackers extract through...,0,"<s,*,*>",https://capec.mitre.org/data/definitions/647.html,No,,No,,No,0,1,0.0000,0.0000,0.0000,8,2,,https://capec.mitre.org/data/definitions/647.html
