Category,NaturalLanguageQuestion,CypherQuery,generated_question
Node Lookup Queries,Can you look up the vulnerability 'CVE-2021-44228'?,MATCH (c:UcoCVE {label: 'CVE-2021-44228'}) RETURN c,What are the details for the vulnerability 'CVE-2021-44228'?
Node Lookup Queries,Tell me about the software weakness 'CWE-89'.,"MATCH (c:UcoCWE {ucocweID: 'CWE-89'}) RETURN c.ucocweName, c.ucodescription",What is the weakness 'CWE-89' and can you describe it?
Node Lookup Queries,What was the 'SolarWinds Orion' cyber attack?,MATCH (c:UcoexCAMPAIGNS {ucoexNAME: 'SolarWinds Orion'}) RETURN c,Tell me everything about the 'SolarWinds Orion' attack campaign.
Node Lookup Queries,Explain the attack method 'Phishing'.,"MATCH (t:UcoexMITREATTACK {ucoexNAME: 'Phishing'}) RETURN t.ucoexDESCRIPTION, t.ucoexDOMAIN",What is the 'Phishing' attack technique and what area does it apply to?
Node Lookup Queries,What is 'Mimikatz'?,MATCH (s:UcoexSOFTWARE {ucoexNAME: 'Mimikatz'}) RETURN s,Retrieve all information about the software 'Mimikatz'.
Node Lookup Queries,What attacks has the 'FIN7' group carried out?,MATCH (g:UcoexGROUPS {ucoexNAME: 'FIN7'})<-[:UCOEXATTRIBUTEDTO]-(c:UcoexCAMPAIGNS) RETURN c.ucoexNAME,Which campaigns are attributed to the 'FIN7' group?
Node Lookup Queries,Tell me about the attack pattern 'CAPEC-540'.,"MATCH (c:UcoexCAPEC {ucoexCAPEC_id: 'CAPEC-540'}) RETURN c.ucoexCAPEC_name, c.ucoexDescription",What is the attack pattern 'CAPEC-540' and can you describe it?
Node Lookup Queries,Show me a list of all hacker groups.,MATCH (g:UcoexGROUPS) RETURN g.ucoexNAME,What are the names of all known threat groups?
Node Lookup Queries,How does 'User Account Control' help with security?,MATCH (m:UcoexMITIGATIONS {ucoexNAME: 'User Account Control'}) RETURN m.ucoexDESCRIPTION,Get the description for the mitigation 'User Account Control'.
Node Lookup Queries,"What vulnerabilities were announced on March 14, 2017?",MATCH (v:UcoVulnerability) WHERE v.ucopublishedDateTime = datetime('2017-03-14T00:00:00Z') RETURN v.ucosummary,Find summaries for all vulnerabilities published exactly on '2017-03-14'.
Relationship Traversal Queries,What tools does 'APT28' use to attack?,MATCH (g:UcoexGROUPS {ucoexNAME: 'APT28'})-[:UCOEXGROUPUSESSOFTWARE]->(s:UcoexSOFTWARE) RETURN s.ucoexNAME,What software does the 'APT28' group use?
Relationship Traversal Queries,What cyber attacks are linked to the 'Lazarus Group'?,MATCH (g:UcoexGROUPS {ucoexNAME: 'Lazarus Group'})<-[:UCOEXATTRIBUTEDTO]-(c:UcoexCAMPAIGNS) RETURN c.ucoexNAME,Find the names of campaigns attributed to the 'Lazarus Group'.
Relationship Traversal Queries,What are the 'FIN7' group's attack methods?,MATCH (g:UcoexGROUPS {ucoexNAME: 'FIN7'})-[:UCOEXGROUPUSESTECHNIQUE]->(t:UcoexMITREATTACK) RETURN t.ucoexNAME,What MITRE ATT&CK techniques are used by the 'FIN7' group?
Relationship Traversal Queries,What is the CVE number for 'EternalBlue'?,MATCH (v:UcoVulnerability {uri: 'vuln-eternalblue'})-[:UCOHASCVE_ID]->(c:UcoCVE) RETURN c.label,What is the official CVE ID for the 'EternalBlue' vulnerability?
Relationship Traversal Queries,What attacks does 'Network Segmentation' prevent?,MATCH (m:UcoexMITIGATIONS {ucoexNAME: 'Network Segmentation'})-[:UCOEXMITIGATES]->(t:UcoexMITREATTACK) RETURN t.ucoexNAME,Which MITRE ATT&CK techniques are mitigated by 'Network Segmentation'?
Relationship Traversal Queries,What software was involved in the 'WannaCry' attack?,MATCH (c:UcoexCAMPAIGNS {ucoexNAME: 'WannaCry Ransomware Attack'})-[:UCOEXCAMPAIGNUSESSOFTWARE]->(s:UcoexSOFTWARE) RETURN s.ucoexNAME,What software is used by the 'WannaCry Ransomware Attack' campaign?
Relationship Traversal Queries,What common flaws are related to attack pattern 'CAPEC-115'?,"MATCH (capec:UcoexCAPEC {ucoexCAPEC_id: 'CAPEC-115'})-[:UCOEXHASRELATEDWEAKNESS]->(cwe:UcoCWE) RETURN cwe.ucocweID, cwe.ucocweName",What common weaknesses (CWEs) are related to the attack pattern 'CAPEC-115'?
Relationship Traversal Queries,What defenses (D3FEND) stop the 'T1003' technique?,MATCH (d:UcoexMITRED3FEND)-[:UCOEXHASMITREATTACK]->(t:UcoexMITREATTACK {ucoexNAME: 'T1003'}) RETURN d.ucoexMITRED3FEND_LABEL,What D3FEND countermeasures are related to the attack technique 'T1003'?
Relationship Traversal Queries,What software is vulnerable to 'CVE-2021-44228'?,MATCH (:UcoCVE {label: 'CVE-2021-44228'})-[:UCOEXHASCPE]->(cpe:UcoexCPE) RETURN cpe.cpeName,What products or platforms are affected by vulnerability 'CVE-2021-44228'?
Relationship Traversal Queries,Show me some examples of the 'CWE-79' weakness.,MATCH (:UcoCWE {ucocweID: 'CWE-79'})-[:UCOHASOBSERVEDEXAMPLE]->(ex:UcoexObservedExample) RETURN ex.ucoexDESCRIPTION,Can you give me real-world examples of the weakness 'CWE-79'?
Multi-hop Queries,Find the tools used by the hackers behind the 'SolarWinds' attack.,MATCH (g:UcoexGROUPS)<-[:UCOEXATTRIBUTEDTO]-(:UcoexCAMPAIGNS {ucoexNAME: 'SolarWinds Orion Attack'})-[:UCOEXGROUPUSESSOFTWARE]->(s:UcoexSOFTWARE) RETURN s.ucoexNAME,What software is used by the threat groups involved in the 'SolarWinds Orion Attack'?
Multi-hop Queries,What specific vulnerabilities did the 'WannaCry' attack use?,MATCH (:UcoexCAMPAIGNS {ucoexNAME: 'WannaCry Ransomware Attack'})-[:UCOEXCAMPAIGNUSESTECHNIQUE]->(t:UcoexMITREATTACK)<-[:UCOEXHASTAXONOMYMAPPING]-(:UcoexCAPEC)-[:UCOEXHASRELATEDWEAKNESS]->(:UcoCWE)<-[:UCOHASWEAKNESS]-(et:UcoExploitTarget)-[:UCOHASVULNERABILITY]->(v:UcoVulnerability)-[:UCOHASCVE_ID]->(cve:UcoCVE) RETURN cve.label,What are the specific CVE vulnerabilities exploited in the 'WannaCry' campaign?
Multi-hop Queries,What attackers are stopped by 'Network Segmentation'?,MATCH (g:UcoexGROUPS)-[:UCOEXGROUPUSESTECHNIQUE]->(t:UcoexMITREATTACK)<-[:UCOEXMITIGATES]-(:UcoexMITIGATIONS {ucoexNAME: 'Network Segmentation'}) RETURN g.ucoexNAME,Which threat groups use attack techniques that 'Network Segmentation' can stop?
Multi-hop Queries,What attack methods does 'APT28' use and what patterns do they follow?,"MATCH (:UcoexGROUPS {ucoexNAME: 'APT28'})-[:UCOEXGROUPUSESTECHNIQUE]->(t:UcoexMITREATTACK)<-[:UCOEXHASTAXONOMYMAPPING]-(c:UcoexCAPEC) RETURN t.ucoexNAME, c.ucoexCAPEC_name","What attack techniques does 'APT28' use, and what common attack patterns (CAPECs) are they related to?"
Multi-hop Queries,Show me flaws related to the same weakness as 'CVE-2017-0144'.,MATCH (:UcoCVE {label: 'CVE-2017-0144'})<-[:UCOEXEXAMPLEOBSERVEDIN]-(:UcoexObservedExample)<-[:UCOHASOBSERVEDEXAMPLE]-(w:UcoCWE)<-[:UCOHASWEAKNESS]-(:UcoExploitTarget)-[:UCOHASVULNERABILITY]->(v:UcoVulnerability) RETURN v.ucosummary,Find vulnerabilities that share a common weakness with 'CVE-2017-0144'.
Multi-hop Queries,How do we stop the software used by 'FIN7'?,MATCH (:UcoexGROUPS {ucoexNAME: 'FIN7'})-[:UCOEXGROUPUSESSOFTWARE]->(:UcoexSOFTWARE)-[:UCOEXSOFTWAREUSESTECHNIQUE]->(t:UcoexMITREATTACK)<-[:UCOEXMITIGATES]-(m:UcoexMITIGATIONS) RETURN m.ucoexNAME,How can we defend against the techniques used by the software that 'FIN7' employs?
Multi-hop Queries,What attacks use software that itself uses 'PowerShell'?,MATCH (c:UcoexCAMPAIGNS)-[:UCOEXCAMPAIGNUSESSOFTWARE]->(:UcoexSOFTWARE)-[:UCOEXSOFTWAREUSESTECHNIQUE]->(:UcoexMITREATTACK {ucoexNAME: 'PowerShell'}) RETURN c.ucoexNAME,Which attack campaigns rely on software that uses 'PowerShell'?
Multi-hop Queries,What other groups act like the 'SolarWinds' attackers?,MATCH (:UcoexCAMPAIGNS {ucoexNAME: 'SolarWinds Orion Attack'})-[:UCOEXCAMPAIGNUSESTECHNIQUE]->(t:UcoexMITREATTACK)<-[:UCOEXGROUPUSESTECHNIQUE]-(g:UcoexGROUPS) RETURN g.ucoexNAME,What other threat groups use the same attack techniques as those in the 'SolarWinds' campaign?
Multi-hop Queries,What software flaws are linked to 'Phishing'?,MATCH (:UcoexMITREATTACK {ucoexNAME: 'Phishing'})<-[:UCOEXHASTAXONOMYMAPPING]-(:UcoexCAPEC)-[:UCOEXHASRELATEDWEAKNESS]->(cwe:UcoCWE) RETURN cwe.ucocweID,What common weaknesses (CWEs) are associated with the 'Phishing' technique?
Multi-hop Queries,How can we defend against the 'Lazarus Group'?,MATCH (:UcoexGROUPS {ucoexNAME: 'Lazarus Group'})-[:UCOEXGROUPUSESTECHNIQUE]->(t:UcoexMITREATTACK)<-[:UCOEXHASMITREATTACK]-(d:UcoexMITRED3FEND) RETURN d.ucoexMITRED3FEND_LABEL,What D3FEND countermeasures can defend against the 'Lazarus Group's' techniques?
Aggregation and Counting,Count the number of attack methods used by 'APT28'.,MATCH (g:UcoexGROUPS {ucoexNAME: 'APT28'})-[:UCOEXGROUPUSESTECHNIQUE]->(t:UcoexMITREATTACK) RETURN count(t),How many techniques does the 'APT28' group use?
Aggregation and Counting,How many attacks is each hacker group responsible for?,"MATCH (g:UcoexGROUPS)<-[:UCOEXATTRIBUTEDTO]-(c:UcoexCAMPAIGNS) RETURN g.ucoexNAME, count(c) AS campaignCount",Count the campaigns attributed to each group.
Aggregation and Counting,"On average, how easy is it to exploit a vulnerability?",MATCH (c:UcoCVE) RETURN avg(toInteger(c.ucoexploitabilityScore)),What is the average exploitability score for all known vulnerabilities (CVEs)?
Aggregation and Counting,How many different software tools do hacker groups use?,MATCH (:UcoexGROUPS)-[:UCOEXGROUPUSESSOFTWARE]->(s:UcoexSOFTWARE) RETURN count(DISTINCT s),How many different pieces of software are used by all threat groups combined?
Aggregation and Counting,What's the worst impact score any vulnerability has?,MATCH (c:UcoCVE) RETURN max(toInteger(c.ucoimpactScore)),What is the highest impact score found among all vulnerabilities (CVEs)?
Aggregation and Counting,How many weaknesses are linked to each attack pattern?,"MATCH (capec:UcoexCAPEC)-[:UCOEXHASRELATEDWEAKNESS]->(cwe:UcoCWE) RETURN capec.ucoexCAPEC_name, count(cwe) AS weaknessCount","For each attack pattern (CAPEC), count how many common weaknesses (CWEs) it relates to."
Aggregation and Counting,How many total vulnerabilities are there?,MATCH (v:UcoVulnerability) RETURN count(v),How many vulnerabilities are in the database?
Aggregation and Counting,How many attacks does each defense stop?,"MATCH (m:UcoexMITIGATIONS)-[:UCOEXMITIGATES]->(t:UcoexMITREATTACK) RETURN m.ucoexNAME, count(t) AS techniqueCount","For each mitigation, count the number of techniques it mitigates."
Aggregation and Counting,Count all the real-world examples of weaknesses.,MATCH (:UcoCWE)-[:UCOHASOBSERVEDEXAMPLE]->(ex:UcoexObservedExample) RETURN count(ex),What is the total number of real-world examples for all common weaknesses?
