id,category,question,gold,full_pred,semantic_pred
1,Node Lookup Queries,Pull the record for CVE-2021-44228.,MATCH (c:UcoCVE {label: 'CVE-2021-44228'}) RETURN c,MATCH (cve:UcoCVE) WHERE cve.label = 'CVE-2021-44228' RETURN cve,MATCH (cv:UcoCVE {label: 'CVE-2021-44228'}) RETURN cv
2,Node Lookup Queries,Get the name and description for CWE-89.,"MATCH (c:UcoCWE {ucocweID: 'CWE-89'}) RETURN c.ucocweName, c.ucodescription","MATCH (cwe:UcoCWE) WHERE cwe.ucocweID = 'CWE-89' RETURN cwe.ucocweName, cwe.ucodescription","MATCH (c:UcoCWE {ucocweID: 'CWE-89'}) RETURN c.name, c.description"
3,Node Lookup Queries,What's the description and domain for the 'Phishing' ATT&CK technique?,"MATCH (t:UcoexMITREATTACK {ucoexNAME: 'Phishing'}) RETURN t.ucoexDESCRIPTION, t.ucoexDOMAIN","MATCH (technique:UcoexMITREATTACK) WHERE technique.ucoexNAME = ""Phishing"" RETURN technique.ucoexDESCRIPTION, technique.ucoexDOMAIN","MATCH (t:UcoexMITREATTACK {ucoexNAME: 'T1566 - Phishing'}) RETURN t.ucoexDESCRIPTION, t.domain"
4,Node Lookup Queries,Pull the entry for the 'Mimikatz' tool.,MATCH (s:UcoexSOFTWARE {ucoexNAME: 'Mimikatz'}) RETURN s,MATCH (software:UcoexSOFTWARE) WHERE software.ucoexNAME = 'Mimikatz' RETURN software LIMIT 1,MATCH (s:UcoexSOFTWARE {ucoexNAME: 'Mimikatz'}) RETURN s
5,Node Lookup Queries,List all tracked threat actor groups.,MATCH (g:UcoexGROUPS) RETURN g.ucoexNAME,MATCH (group:UcoexGROUPS) RETURN group LIMIT 10,MATCH (g:UcoexGROUPS) RETURN g.ucoexNAME LIMIT 1000
6,Node Lookup Queries,What's the description for the 'User Account Control' mitigation?,MATCH (m:UcoexMITIGATIONS {ucoexNAME: 'User Account Control'}) RETURN m.ucoexDESCRIPTION,"MATCH (mitigation:UcoexMITIGATIONS) WHERE mitigation.ucoexNAME = ""User Account Control"" RETURN mitigation.ucoexDESCRIPTION LIMIT 1","MATCH (m:UcoexMITIGATIONS {ucoexNAME: ""User Account Control""}) RETURN DISTINCT m.ucoexDESCRIPTION LIMIT 1"
7,Relationship Traversal Queries,What tools are in APT28's toolkit?,MATCH (g:UcoexGROUPS {ucoexNAME: 'APT28'})-[:UCOEXGROUPUSESSOFTWARE]->(s:UcoexSOFTWARE) RETURN s.ucoexNAME,MATCH (group:UcoexGROUPS)-[:UCOEXGROUPUSESSOFTWARE]->(software:UcoexSOFTWARE) WHERE group.ucoexNAME = 'APT28' RETURN software LIMIT 10,MATCH (g:UcoexGROUPS {ucoexNAME: 'APT28'})-[:UCOEXGROUPUSESSOFTWARE]->(s:UcoexSOFTWARE) RETURN s.ucoexNAME LIMIT 100
8,Relationship Traversal Queries,Show me campaigns linked to the Lazarus Group.,MATCH (g:UcoexGROUPS {ucoexNAME: 'Lazarus Group'})<-[:UCOEXATTRIBUTEDTO]-(c:UcoexCAMPAIGNS) RETURN c.ucoexNAME,MATCH (campaign:UcoexCAMPAIGNS)-[:UCOEXATTRIBUTEDTO]->(group:UcoexGROUPS) WHERE group.ucoexNAME = 'Lazarus' RETURN campaign LIMIT 10,MATCH (g:UcoexGROUPS {ucoexNAME: 'Lazarus Group'})<-[:UCOEXATTRIBUTEDTO]-(c:UcoexCAMPAIGNS) RETURN c.ucoexNAME
9,Relationship Traversal Queries,What CVE identifier corresponds to the 'EternalBlue' vulnerability?,MATCH (v:UcoVulnerability {uri: 'vuln-eternalblue'})-[:UCOHASCVE_ID]->(c:UcoCVE) RETURN c.label,MATCH (cve:UcoCVE)-[:UCOHASVULNERABILITY]->(vuln:UcoVulnerability) WHERE vuln.ucosummary CONTAINS 'EternalBlue' RETURN cve.label LIMIT 1,MATCH (v:UcoVulnerability) WHERE v.ucosummary CONTAINS 'EternalBlue' WITH v MATCH (v)-[:UCOHASCVE_ID]->(c:UcoCVE) RETURN DISTINCT c.label LIMIT 1
10,Relationship Traversal Queries,What D3FEND countermeasures map to ATT&CK technique T1003?,MATCH (d:UcoexMITRED3FEND)-[:UCOEXHASMITREATTACK]->(t:UcoexMITREATTACK {ucoexNAME: 'T1003'}) RETURN d.ucoexMITRED3FEND_LABEL,MATCH (d3fend:UcoexMITRED3FEND)-[:UCOEXHASMITREATTACK]->(attack:UcoexMITREATTACK) WHERE attack.ucoexNAME = 'T1003' RETURN d3fend LIMIT 10,"MATCH (d:D3FENDControl)-[:UCOEXHASMITREATTACK]->(t:Technique {ucoexNAME:""T1003""}) RETURN d.ucoexNAME"
11,Relationship Traversal Queries,What products or platforms (CPEs) are affected by CVE-2021-44228?,MATCH (:UcoCVE {label: 'CVE-2021-44228'})-[:UCOEXHASCPE]->(cpe:UcoexCPE) RETURN cpe.cpeName,MATCH (cve:UcoCVE)-[:UCOEXHASCPE]->(cpe:UcoexCPE) WHERE cve.label = 'CVE-2021-44228' RETURN cpe,MATCH (cv:UcoCVE {label: 'CVE-2021-44228'})-[:UCOEXHASCPE]->(p:UcoexCPE) RETURN p.uri
12,Multi-hop Queries,Which CVEs were exploited during the WannaCry campaign?,MATCH (:UcoexCAMPAIGNS {ucoexNAME: 'WannaCry Ransomware Attack'})-[:UCOEXCAMPAIGNUSESTECHNIQUE]->(t:UcoexMITREATTACK)<-[:UCOEXHASTAXONOMYMAPPING]-(:UcoexCAPEC)-[:UCOEXHASRELATEDWEAKNESS]->(:UcoCWE)<-[:UCOHASWEAKNESS]-(et:UcoExploitTarget)-[:UCOHASVULNERABILITY]->(v:UcoVulnerability)-[:UCOHASCVE_ID]->(cve:UcoCVE) RETURN cve.label,MATCH (campaign:UcoexCAMPAIGNS)-[:UCOEXATTRIBUTEDTO]->(group:UcoexGROUPS)-[:UCOEXGROUPUSESSOFTWARE]->(software:UcoexSOFTWARE)-[:UCOHASVULNERABILITY|UCOEXPLOITTARGET*2..3]-(cve:UcoCVE) WHERE campaign.ucoexNAME = 'WannaCry' RETURN cve LIMIT 10,MATCH (:UcoexCAMPAIGNS {ucoexNAME: 'WannaCry Ransomware Attack'})-[:UCOEXCAMPAIGNUSESTECHNIQUE]->(t:UcoexMITREATTACK)<-[:UCOEXHASTAXONOMYMAPPING]-(:UcoexCAPEC)-[:UCOEXHASRELATEDWEAKNESS]->(:UcoCWE)<-[:UCOHASWEAKNESS]-(et:UcoExploitTarget)-[:UCOHASVULNERABILITY]->(v:UcoVulnerability)-[:UCOHASCVE_ID]->(cve:UcoCVE) RETURN DISTINCT cve.label
13,Multi-hop Queries,Which threat actors use TTPs that 'Network Segmentation' can block?,MATCH (g:UcoexGROUPS)-[:UCOEXGROUPUSESTECHNIQUE]->(t:UcoexMITREATTACK)<-[:UCOEXMITIGATES]-(:UcoexMITIGATIONS {ucoexNAME: 'Network Segmentation'}) RETURN g.ucoexNAME,MATCH (group:UcoexGROUPS)-[:UCOEXGROUPUSESTECHNIQUE]->(technique:UcoexMITREATTACK)<-[:UCOHASMITREATTACK]-(d3fend:UcoexMITRED3FEND) WHERE d3fend.ucoexMITRED3FEND_LABEL = 'Network Segmentation' RETURN group,MATCH (g:UcoexGROUPS)-[:UCOEXGROUPUSESTECHNIQUE]->(:UcoexMITREATTACK)<-[:d3fendCoversTechnique]-(dc:D3FENDControl {ucoexMITRED3FENDname: 'Network Segmentation'}) RETURN DISTINCT g.ucoexNAME LIMIT 100
14,Multi-hop Queries,"Find vulnerabilities that share the same weakness type (CWE) as CVE-2017-0144, based on observed incidents.",MATCH (:UcoCVE {label: 'CVE-2017-0144'})<-[:UCOEXEXAMPLEOBSERVEDIN]-(:UcoexObservedExample)<-[:UCOHASOBSERVEDEXAMPLE]-(w:UcoCWE)<-[:UCOHASWEAKNESS]-(:UcoExploitTarget)-[:UCOHASVULNERABILITY]->(v:UcoVulnerability) RETURN v.ucosummary,"MATCH (vuln:UcoVulnerability)-[:UCOHASCVE_ID]->(cve:UcoCVE { label: 'CVE-2017-0144' })
WITH cve MATCH (cve)-[:UCOEXHASCPE|UCOHASWEAKNESS*2..3]-(otherCwe:UcoCWE)
WITH collect(DISTINCT otherCwe.ucocweID) AS CWEIDs
MATCH (vuln2:UcoVulnerability)-[:UCOHASCVE_ID]->(cve2:UcoCVE)-[rel:UCOHASWEAKNESS]->(cwe2:UcoCWE)",MATCH (:UcoCVE {label: 'CVE-2017-0144'})<-[:UCOHASOBSERVEDEXAMPLE]-(:UcoexObservedExample)<-[:UCOHASOBSERVEDEXAMPLE]-(w:UcoCWE)<-[:UCOHASWEAKNESS]-(:UcoExploitTarget)-[:UCOHASVULNERABILITY]->(v:UcoVulnerability) RETURN DISTINCT v.ucosummary LIMIT 10
15,Multi-hop Queries,Which threat actors have TTP overlap with the SolarWinds campaign?,MATCH (:UcoexCAMPAIGNS {ucoexNAME: 'SolarWinds Orion Attack'})-[:UCOEXCAMPAIGNUSESTECHNIQUE]->(t:UcoexMITREATTACK)<-[:UCOEXGROUPUSESTECHNIQUE]-(g:UcoexGROUPS) RETURN g.ucoexNAME,MATCH (group:UcoexGROUPS)-[:UCOEXGROUPUSESTECHNIQUE]->(technique1:UcoexMITREATTACK)<-[:UCOEXCAMPAIGNUSESTECHNIQUE]-(campaign:UcoexCAMPAIGNS) WHERE campaign.ucoexNAME = 'SolarWinds' RETURN DISTINCT group,MATCH (swc:UcoexCAMPAIGNS {ucoexNAME: 'SolarWinds'})-[:UCOEXCAMPAIGNUSESTECHNIQUE]->(t:UcoexMITREATTACK)<-[:UCOEXGROUPUSESTECHNIQUE]-(g:UcoexGROUPS) RETURN DISTINCT g.ucoexNAME
16,Multi-hop Queries,What underlying weaknesses (CWEs) are associated with 'Phishing' via CAPEC patterns?,MATCH (:UcoexMITREATTACK {ucoexNAME: 'Phishing'})<-[:UCOEXHASTAXONOMYMAPPING]-(:UcoexCAPEC)-[:UCOEXHASRELATEDWEAKNESS]->(cwe:UcoCWE) RETURN cwe.ucocweID,MATCH (capec:UcoexCAPEC)-[:UCOEXHASRELATEDWEAKNESS]->(cwe:UcoCWE) WHERE capec.ucoexDescription CONTAINS 'Phishing' RETURN cwe LIMIT 10,"MATCH (ca:UcoexCAPEC {ucoexName: 'Phishing'})-[:UCOEXHASRELATEDWEAKNESS]->(w:UcoCWE) RETURN DISTINCT w.ucocweID, w.name"
17,Multi-hop Queries,What D3FEND countermeasures are recommended for TTPs used by the Lazarus Group?,MATCH (:UcoexGROUPS {ucoexNAME: 'Lazarus Group'})-[:UCOEXGROUPUSESTECHNIQUE]->(t:UcoexMITREATTACK)<-[:UCOEXHASMITREATTACK]-(d:UcoexMITRED3FEND) RETURN d.ucoexMITRED3FEND_LABEL,MATCH (group:UcoexGROUPS)-[:UCOEXGROUPUSESTECHNIQUE]->(technique:UcoexMITREATTACK)<-[:UCOHASMITREATTACK]-(mitred3fend:UcoexMITRED3FEND) WHERE group.ucoexNAME = 'Lazarus Group' RETURN mitred3fend LIMIT 10,MATCH (g:UcoexGROUPS {ucoexNAME: 'Lazarus Group'})-[:UCOEXGROUPUSESTECHNIQUE]->(t:UcoexMITREATTACK)<-[:UCOEXHASMITREATTACK]-(d:UcoexMITRED3FEND) RETURN DISTINCT d.ucoexMITRED3FEND_LABEL
18,Aggregation and Counting,Count the number of distinct TTPs linked to APT28.,MATCH (g:UcoexGROUPS {ucoexNAME: 'APT28'})-[:UCOEXGROUPUSESTECHNIQUE]->(t:UcoexMITREATTACK) RETURN count(t),"MATCH (group:UcoexGROUPS)-[:UCOEXGROUPUSESTECHNIQUE]->(technique:UcoexMITREATTACK) WHERE group.ucoexNAME = 'APT28' WITH technique.ucoexNAME AS ttp, COUNT(DISTINCT technique) AS count RETURN DISTINCT ttp LIMIT 100",MATCH (g:UcoexGROUPS {ucoexNAME: 'APT28'})-[:UCOEXGROUPUSESTECHNIQUE]->(t:UcoexMITREATTACK) RETURN count(DISTINCT t) AS distinctTTPCount
19,Aggregation and Counting,Show a count of campaigns for each threat actor.,"MATCH (g:UcoexGROUPS)<-[:UCOEXATTRIBUTEDTO]-(c:UcoexCAMPAIGNS) RETURN g.ucoexNAME, count(c) AS campaignCount","MATCH (campaign:UcoexCAMPAIGNS)-[:UCOEXATTRIBUTEDTO]->(group:UcoexGROUPS)
RETURN group.ucoexNAME AS groupName, COUNT(campaign) AS campaignCount","MATCH (g:UcoexGROUPS)<-[:UCOEXATTRIBUTEDTO]-(c:UcoexCAMPAIGNS) RETURN g.ucoexNAME, count(c) AS campaignCount"
20,Aggregation and Counting,Calculate the average exploitability score across all CVEs.,MATCH (c:UcoCVE) RETURN avg(toInteger(c.ucoexploitabilityScore)),MATCH (cve:UcoCVE) RETURN AVG(cve.ucoexploitabilityScore) AS avg_exploitability_score,"MATCH (c:UcoCVE)
RETURN avg(toFloat(c.ucoexploitabilityScore)) AS AverageExploitabilityScore"
21,Aggregation and Counting,How many unique tools are tracked across all threat actor toolkits?,MATCH (:UcoexGROUPS)-[:UCOEXGROUPUSESSOFTWARE]->(s:UcoexSOFTWARE) RETURN count(DISTINCT s),MATCH (group:UcoexGROUPS)-[:UCOEXGROUPUSESSOFTWARE]->(software:UcoexSOFTWARE) RETURN COUNT(DISTINCT software.ucoexNAME) AS count,MATCH (g:UcoexGROUPS)-[:UCOEXGROUPUSESSOFTWARE]->(s:UcoexSOFTWARE) RETURN count(DISTINCT s.ucoexNAME) AS UniqueToolsCount
22,Aggregation and Counting,What is the highest impact score listed for any CVE?,MATCH (c:UcoCVE) RETURN max(toInteger(c.ucoimpactScore)),MATCH (cve:UcoCVE) RETURN MAX(cve.ucoimpactScore) AS maxImpact,MATCH (c:UcoCVE) RETURN MAX(toFloat(c.ucoimpactScore)) AS maxImpactScore
