sample_id,question,hop_count,question_type,first_node,first_found,second_node,second_found,third_node,third_found,coverage_count,total_gold_nodes,recall,precision,f1,hit_at_1,hit_at_3,reciprocal_rank,key_entities_count,num_sources,nodes_found,gold_nodes
1,How could Improper Handling of Windows Device Names lead to ...,0,"<s,*,*>",http://purl.org/cyber/uco#CWE-67,Yes,,No,,No,1,1,1.0000,0.0588,0.1111,1,1,1.0000,17,3,http://purl.org/cyber/uco#CWE-67,http://purl.org/cyber/uco#CWE-67
2,What causes Improper Handling of Windows Device Names to esc...,0,"<s,*,*>",http://purl.org/cyber/uco#CWE-67,Yes,,No,,No,1,1,1.0000,0.0625,0.1176,1,1,1.0000,16,3,http://purl.org/cyber/uco#CWE-67,http://purl.org/cyber/uco#CWE-67
3,How could attackers exploit Improper Handling of Windows Dev...,0,"<s,*,*>",http://purl.org/cyber/uco#CWE-67,No,,No,,No,0,1,0.0000,0.0000,0.0000,0,0,0.0000,10,3,,http://purl.org/cyber/uco#CWE-67
4,Which factors make Improper Handling of Windows Device Names...,0,"<s,*,*>",http://purl.org/cyber/uco#CWE-67,Yes,,No,,No,1,1,1.0000,0.0476,0.0909,1,1,1.0000,21,3,http://purl.org/cyber/uco#CWE-67,http://purl.org/cyber/uco#CWE-67
5,How might Improper Handling of Windows Device Names enable u...,0,"<s,*,*>",http://purl.org/cyber/uco#CWE-67,Yes,,No,,No,1,1,1.0000,0.0323,0.0625,1,1,1.0000,31,3,http://purl.org/cyber/uco#CWE-67,http://purl.org/cyber/uco#CWE-67
6,How could Timestamp Request help an adversary undermine time...,0,"<s,*,*>",https://capec.mitre.org/data/definitions/295.html,Yes,,No,,No,1,1,1.0000,0.0588,0.1111,1,1,1.0000,17,3,https://capec.mitre.org/data/definitions/295.html,https://capec.mitre.org/data/definitions/295.html
7,What causes Timestamp Request to expose weaknesses in time-d...,0,"<s,*,*>",https://capec.mitre.org/data/definitions/295.html,Yes,,No,,No,1,1,1.0000,0.0588,0.1111,1,1,1.0000,17,3,https://capec.mitre.org/data/definitions/295.html,https://capec.mitre.org/data/definitions/295.html
8,How might Timestamp Request support broader reconnaissance o...,0,"<s,*,*>",https://capec.mitre.org/data/definitions/295.html,Yes,,No,,No,1,1,1.0000,0.0588,0.1111,1,1,1.0000,17,3,https://capec.mitre.org/data/definitions/295.html,https://capec.mitre.org/data/definitions/295.html
9,Which factors make Timestamp Request effective for probing s...,0,"<s,*,*>",https://capec.mitre.org/data/definitions/295.html,Yes,,No,,No,1,1,1.0000,0.0385,0.0741,1,1,1.0000,26,3,https://capec.mitre.org/data/definitions/295.html,https://capec.mitre.org/data/definitions/295.html
10,How could Timestamp Request be combined with other technique...,0,"<s,*,*>",https://capec.mitre.org/data/definitions/295.html,Yes,,No,,No,1,1,1.0000,0.0455,0.0870,1,1,1.0000,22,3,https://capec.mitre.org/data/definitions/295.html,https://capec.mitre.org/data/definitions/295.html
11,How could SocGholish enable broader intrusion through its dr...,0,"<s,*,*>",http://example.com/ucoex#S1124,Yes,,No,,No,1,1,1.0000,0.0164,0.0323,1,1,1.0000,61,3,http://example.com/ucoex#S1124,http://example.com/ucoex#S1124
12,What causes SocGholish to be effective for initial access ac...,0,"<s,*,*>",http://example.com/ucoex#S1124,Yes,,No,,No,1,1,1.0000,0.0455,0.0870,1,1,1.0000,22,3,http://example.com/ucoex#S1124,http://example.com/ucoex#S1124
13,How might SocGholish facilitate deployment of secondary rans...,0,"<s,*,*>",http://example.com/ucoex#S1124,Yes,,No,,No,1,1,1.0000,0.0256,0.0500,1,1,1.0000,39,3,http://example.com/ucoex#S1124,http://example.com/ucoex#S1124
14,Which factors make SocGholish attractive for groups purchasi...,0,"<s,*,*>",http://example.com/ucoex#S1124,Yes,,No,,No,1,1,1.0000,0.0455,0.0870,1,1,1.0000,22,3,http://example.com/ucoex#S1124,http://example.com/ucoex#S1124
15,How could SocGholish’s masqueraded updates expand an adversa...,0,"<s,*,*>",http://example.com/ucoex#S1124,Yes,,No,,No,1,1,1.0000,0.0200,0.0392,1,1,1.0000,50,3,http://example.com/ucoex#S1124,http://example.com/ucoex#S1124
16,How could APT39 expand its surveillance reach across targete...,0,"<s,*,*>",http://example.com/ucoex#G0087,Yes,,No,,No,1,1,1.0000,0.0192,0.0377,1,1,1.0000,52,3,http://example.com/ucoex#G0087,http://example.com/ucoex#G0087
17,What causes APT39 to focus heavily on travel and telecommuni...,0,"<s,*,*>",http://example.com/ucoex#G0087,No,,No,,No,0,1,0.0000,0.0000,0.0000,0,0,0.0000,52,3,,http://example.com/ucoex#G0087
18,How might APT39 leverage industry data to track high-value i...,0,"<s,*,*>",http://example.com/ucoex#G0087,Yes,,No,,No,1,1,1.0000,0.0167,0.0328,0,1,0.5000,60,3,http://example.com/ucoex#G0087,http://example.com/ucoex#G0087
19,Which factors make APT39 persistent across diverse geographi...,0,"<s,*,*>",http://example.com/ucoex#G0087,Yes,,No,,No,1,1,1.0000,0.0185,0.0364,0,1,0.5000,54,3,http://example.com/ucoex#G0087,http://example.com/ucoex#G0087
20,How could APT39’s long-term operations influence regional es...,0,"<s,*,*>",http://example.com/ucoex#G0087,Yes,,No,,No,1,1,1.0000,0.0222,0.0435,1,1,1.0000,45,3,http://example.com/ucoex#G0087,http://example.com/ucoex#G0087
21,How could Audio Capture help adversaries intercept sensitive...,0,"<s,*,*>",http://example.com/ucoex#T1123,Yes,,No,,No,1,1,1.0000,0.0213,0.0417,1,1,1.0000,47,3,http://example.com/ucoex#T1123,http://example.com/ucoex#T1123
22,What causes Audio Capture to be especially effective on comp...,0,"<s,*,*>",http://example.com/ucoex#T1123,No,,No,,No,0,1,0.0000,0.0000,0.0000,0,0,0.0000,10,3,,http://example.com/ucoex#T1123
23,How might Audio Capture be combined with other techniques fo...,0,"<s,*,*>",http://example.com/ucoex#T1123,Yes,,No,,No,1,1,1.0000,0.0244,0.0476,1,1,1.0000,41,3,http://example.com/ucoex#T1123,http://example.com/ucoex#T1123
24,Which factors influence how stealthy an Audio Capture operat...,0,"<s,*,*>",http://example.com/ucoex#T1123,Yes,,No,,No,1,1,1.0000,0.0227,0.0444,1,1,1.0000,44,3,http://example.com/ucoex#T1123,http://example.com/ucoex#T1123
25,How could Audio Capture support long-term monitoring of targ...,0,"<s,*,*>",http://example.com/ucoex#T1123,No,,No,,No,0,1,0.0000,0.0000,0.0000,0,0,0.0000,8,3,,http://example.com/ucoex#T1123
26,How does the Cellular Rogue Base Station attack exploit sign...,0,"<s,*,*>",https://capec.mitre.org/data/definitions/617.html,Yes,,No,,No,1,1,1.0000,0.1429,0.2500,1,1,1.0000,7,3,https://capec.mitre.org/data/definitions/617.html,https://capec.mitre.org/data/definitions/617.html
27,What authentication weaknesses enable Cellular Rogue Base St...,0,"<s,*,*>",https://capec.mitre.org/data/definitions/617.html,Yes,,No,,No,1,1,1.0000,0.1000,0.1818,1,1,1.0000,10,3,https://capec.mitre.org/data/definitions/617.html,https://capec.mitre.org/data/definitions/617.html
28,Which cellular security controls can mitigate Cellular Rogue...,0,"<s,*,*>",https://capec.mitre.org/data/definitions/617.html,Yes,,No,,No,1,1,1.0000,0.1000,0.1818,1,1,1.0000,10,3,https://capec.mitre.org/data/definitions/617.html,https://capec.mitre.org/data/definitions/617.html
29,How does Collect Data from Registries exploit authorization ...,0,"<s,*,*>",https://capec.mitre.org/data/definitions/647.html,Yes,,No,,No,1,1,1.0000,0.0286,0.0556,1,1,1.0000,35,3,https://capec.mitre.org/data/definitions/647.html,https://capec.mitre.org/data/definitions/647.html
30,What system configuration data can attackers extract through...,0,"<s,*,*>",https://capec.mitre.org/data/definitions/647.html,Yes,,No,,No,1,1,1.0000,0.0185,0.0364,0,0,0.0000,54,3,https://capec.mitre.org/data/definitions/647.html,https://capec.mitre.org/data/definitions/647.html
31,Which authorization controls mitigate Collect Data from Regi...,0,"<s,*,*>",https://capec.mitre.org/data/definitions/647.html,Yes,,No,,No,1,1,1.0000,0.0213,0.0417,1,1,1.0000,47,3,https://capec.mitre.org/data/definitions/647.html,https://capec.mitre.org/data/definitions/647.html
32,How does Absolute Path Traversal exploit inadequate neutrali...,0,"<s,*,*>",http://purl.org/cyber/uco#CWE-36,Yes,,No,,No,1,1,1.0000,0.0526,0.1000,0,0,0.0000,19,3,http://purl.org/cyber/uco#CWE-36,http://purl.org/cyber/uco#CWE-36
33,What file system risks arise from Absolute Path Traversal by...,0,"<s,*,*>",http://purl.org/cyber/uco#CWE-36,Yes,,No,,No,1,1,1.0000,0.0909,0.1667,0,0,0.0000,11,3,http://purl.org/cyber/uco#CWE-36,http://purl.org/cyber/uco#CWE-36
34,Which input validation controls prevent Absolute Path Traver...,0,"<s,*,*>",http://purl.org/cyber/uco#CWE-36,No,,No,,No,0,1,0.0000,0.0000,0.0000,0,0,0.0000,21,3,,http://purl.org/cyber/uco#CWE-36
35,How does Path Traversal: '../filedir' exploit inadequate neu...,0,"<s,*,*>",http://purl.org/cyber/uco#CWE-24,Yes,,No,,No,1,1,1.0000,0.0526,0.1000,0,1,0.3333,19,3,http://purl.org/cyber/uco#CWE-24,http://purl.org/cyber/uco#CWE-24
36,What file system risks arise from Path Traversal: '../filedi...,0,"<s,*,*>",http://purl.org/cyber/uco#CWE-24,Yes,,No,,No,1,1,1.0000,0.0588,0.1111,0,1,0.3333,17,3,http://purl.org/cyber/uco#CWE-24,http://purl.org/cyber/uco#CWE-24
37,Which input validation controls prevent Path Traversal: '../...,0,"<s,*,*>",http://purl.org/cyber/uco#CWE-24,No,,No,,No,0,1,0.0000,0.0000,0.0000,0,0,0.0000,10,3,,http://purl.org/cyber/uco#CWE-24
38,How does APT41 combine state-sponsored espionage with financ...,0,"<s,*,*>",http://example.com/ucoex#G0096,Yes,,No,,No,1,1,1.0000,0.0196,0.0385,0,0,0.0000,51,3,http://example.com/ucoex#G0096,http://example.com/ucoex#G0096
39,What industries and sectors has APT41 targeted across their ...,0,"<s,*,*>",http://example.com/ucoex#G0096,Yes,,No,,No,1,1,1.0000,0.0227,0.0444,0,0,0.0000,44,3,http://example.com/ucoex#G0096,http://example.com/ucoex#G0096
40,Which malware toolsets does APT41 leverage to achieve divers...,0,"<s,*,*>",http://example.com/ucoex#G0096,Yes,,No,,No,1,1,1.0000,0.0244,0.0476,0,0,0.0000,41,3,http://example.com/ucoex#G0096,http://example.com/ucoex#G0096
41,How does Kimsuky leverage commercial AI models for vulnerabi...,0,"<s,*,*>",http://example.com/ucoex#G0094,Yes,,No,,No,1,1,1.0000,0.0233,0.0455,1,1,1.0000,43,3,http://example.com/ucoex#G0094,http://example.com/ucoex#G0094
42,What geopolitical intelligence targets does Kimsuky prioriti...,0,"<s,*,*>",http://example.com/ucoex#G0094,Yes,,No,,No,1,1,1.0000,0.0244,0.0476,1,1,1.0000,41,3,http://example.com/ucoex#G0094,http://example.com/ucoex#G0094
43,Which notable campaigns has Kimsuky conducted since their em...,0,"<s,*,*>",http://example.com/ucoex#G0094,Yes,,No,,No,1,1,1.0000,0.0222,0.0435,1,1,1.0000,45,3,http://example.com/ucoex#G0094,http://example.com/ucoex#G0094
44,How does Scheduled Task/Job enable adversaries to achieve pe...,0,"<s,*,*>",http://example.com/ucoex#T1053,Yes,,No,,No,1,1,1.0000,0.0227,0.0444,1,1,1.0000,44,3,http://example.com/ucoex#T1053,http://example.com/ucoex#T1053
45,What privilege escalation risks arise from Scheduled Task/Jo...,0,"<s,*,*>",http://example.com/ucoex#T1053,No,,No,,No,0,1,0.0000,0.0000,0.0000,0,0,0.0000,9,3,,http://example.com/ucoex#T1053
46,Which authentication requirements must attackers satisfy for...,0,"<s,*,*>",http://example.com/ucoex#T1053,No,,No,,No,0,1,0.0000,0.0000,0.0000,0,0,0.0000,9,3,,http://example.com/ucoex#T1053
47,How does Scheduled Task/Job enable adversaries to achieve pe...,0,"<s,*,*>",http://example.com/ucoex#S0265,No,,No,,No,0,1,0.0000,0.0000,0.0000,0,0,0.0000,44,3,,http://example.com/ucoex#S0265
48,What privilege escalation risks arise from Scheduled Task/Jo...,0,"<s,*,*>",http://example.com/ucoex#S0265,No,,No,,No,0,1,0.0000,0.0000,0.0000,0,0,0.0000,7,3,,http://example.com/ucoex#S0265
49,Which authentication requirements must attackers satisfy for...,0,"<s,*,*>",http://example.com/ucoex#S0265,No,,No,,No,0,1,0.0000,0.0000,0.0000,0,0,0.0000,9,3,,http://example.com/ucoex#S0265
50,How does Scheduled Task/Job masking malicious execution unde...,0,"<s,*,*>",http://example.com/ucoex#S0265,No,,No,,No,0,1,0.0000,0.0000,0.0000,0,0,0.0000,23,3,,http://example.com/ucoex#S0265
