Category,NaturalLanguageQuestion,CypherQuery,generated_question,ExpectedNodeLabels,ExpectedRelationshipTypes,ExpectedProperties,Hops,ExtractedPropertyValues
Node Lookup Queries,Can you look up the vulnerability 'CVE-2021-44228'?,MATCH (c:UcoCVE {label: 'CVE-2021-44228'}) RETURN c,What are the details for the vulnerability 'CVE-2021-44228'?,"[""UcoCVE""]",[],"[""label""]",0,"[""CVE-2021-44228""]"
Node Lookup Queries,Tell me about the software weakness 'CWE-89'.,"MATCH (c:UcoCWE {ucocweID: 'CWE-89'}) RETURN c.ucocweName, c.ucodescription",What is the weakness 'CWE-89' and can you describe it?,"[""UcoCWE""]",[],"[""ucocweID"", ""ucocweName"", ""ucodescription""]",0,"[""CWE-89""]"
Node Lookup Queries,What was the 'SolarWinds Orion' cyber attack?,MATCH (c:UcoexCAMPAIGNS {ucoexNAME: 'SolarWinds Orion'}) RETURN c,Tell me everything about the 'SolarWinds Orion' attack campaign.,"[""UcoexCAMPAIGNS""]",[],"[""ucoexNAME""]",0,"[""SolarWinds Orion""]"
Node Lookup Queries,Explain the attack method 'Phishing'.,"MATCH (t:UcoexMITREATTACK {ucoexNAME: 'Phishing'}) RETURN t.ucoexDESCRIPTION, t.ucoexDOMAIN",What is the 'Phishing' attack technique and what area does it apply to?,"[""UcoexMITREATTACK""]",[],"[""ucoexDESCRIPTION"", ""ucoexDOMAIN"", ""ucoexNAME""]",0,"[""Phishing""]"
Node Lookup Queries,What is 'Mimikatz'?,MATCH (s:UcoexSOFTWARE {ucoexNAME: 'Mimikatz'}) RETURN s,Retrieve all information about the software 'Mimikatz'.,"[""UcoexSOFTWARE""]",[],"[""ucoexNAME""]",0,"[""Mimikatz""]"
Node Lookup Queries,What attacks has the 'FIN7' group carried out?,MATCH (g:UcoexGROUPS {ucoexNAME: 'FIN7'})<-[:UCOEXATTRIBUTEDTO]-(c:UcoexCAMPAIGNS) RETURN c.ucoexNAME,Which campaigns are attributed to the 'FIN7' group?,"[""UcoexCAMPAIGNS"", ""UcoexGROUPS""]","[""UCOEXATTRIBUTEDTO""]","[""ucoexNAME""]",0,"[""FIN7""]"
Node Lookup Queries,Tell me about the attack pattern 'CAPEC-540'.,"MATCH (c:UcoexCAPEC {ucoexCAPEC_id: 'CAPEC-540'}) RETURN c.ucoexCAPEC_name, c.ucoexDescription",What is the attack pattern 'CAPEC-540' and can you describe it?,"[""UcoexCAPEC""]",[],"[""ucoexCAPEC_id"", ""ucoexCAPEC_name"", ""ucoexDescription""]",0,"[""CAPEC-540""]"
Node Lookup Queries,Show me a list of all hacker groups.,MATCH (g:UcoexGROUPS) RETURN g.ucoexNAME,What are the names of all known threat groups?,"[""UcoexGROUPS""]",[],"[""ucoexNAME""]",0,[]
Node Lookup Queries,How does 'User Account Control' help with security?,MATCH (m:UcoexMITIGATIONS {ucoexNAME: 'User Account Control'}) RETURN m.ucoexDESCRIPTION,Get the description for the mitigation 'User Account Control'.,"[""UcoexMITIGATIONS""]",[],"[""ucoexDESCRIPTION"", ""ucoexNAME""]",0,"[""User Account Control""]"
Node Lookup Queries,"What vulnerabilities were announced on March 14, 2017?",MATCH (v:UcoVulnerability) WHERE v.ucopublishedDateTime = datetime('2017-03-14T00:00:00Z') RETURN v.ucosummary,Find summaries for all vulnerabilities published exactly on '2017-03-14'.,"[""UcoVulnerability""]",[],"[""ucopublishedDateTime"", ""ucosummary""]",0,"[""2017-03-14T00:00:00Z""]"
Relationship Traversal Queries,What tools does 'APT28' use to attack?,MATCH (g:UcoexGROUPS {ucoexNAME: 'APT28'})-[:UCOEXGROUPUSESSOFTWARE]->(s:UcoexSOFTWARE) RETURN s.ucoexNAME,What software does the 'APT28' group use?,"[""UcoexGROUPS"", ""UcoexSOFTWARE""]","[""UCOEXGROUPUSESSOFTWARE""]","[""ucoexNAME""]",0,"[""APT28""]"
Relationship Traversal Queries,What cyber attacks are linked to the 'Lazarus Group'?,MATCH (g:UcoexGROUPS {ucoexNAME: 'Lazarus Group'})<-[:UCOEXATTRIBUTEDTO]-(c:UcoexCAMPAIGNS) RETURN c.ucoexNAME,Find the names of campaigns attributed to the 'Lazarus Group'.,"[""UcoexCAMPAIGNS"", ""UcoexGROUPS""]","[""UCOEXATTRIBUTEDTO""]","[""ucoexNAME""]",0,"[""Lazarus Group""]"
Relationship Traversal Queries,What are the 'FIN7' group's attack methods?,MATCH (g:UcoexGROUPS {ucoexNAME: 'FIN7'})-[:UCOEXGROUPUSESTECHNIQUE]->(t:UcoexMITREATTACK) RETURN t.ucoexNAME,What MITRE ATT&CK techniques are used by the 'FIN7' group?,"[""UcoexGROUPS"", ""UcoexMITREATTACK""]","[""UCOEXGROUPUSESTECHNIQUE""]","[""ucoexNAME""]",0,"[""FIN7""]"
Relationship Traversal Queries,What is the CVE number for 'EternalBlue'?,MATCH (v:UcoVulnerability {uri: 'vuln-eternalblue'})-[:UCOHASCVE_ID]->(c:UcoCVE) RETURN c.label,What is the official CVE ID for the 'EternalBlue' vulnerability?,"[""UcoCVE"", ""UcoVulnerability""]","[""UCOHASCVE_ID""]","[""label"", ""uri""]",0,"[""vuln-eternalblue""]"
Relationship Traversal Queries,What attacks does 'Network Segmentation' prevent?,MATCH (m:UcoexMITIGATIONS {ucoexNAME: 'Network Segmentation'})-[:UCOEXMITIGATES]->(t:UcoexMITREATTACK) RETURN t.ucoexNAME,Which MITRE ATT&CK techniques are mitigated by 'Network Segmentation'?,"[""UcoexMITIGATIONS"", ""UcoexMITREATTACK""]","[""UCOEXMITIGATES""]","[""ucoexNAME""]",0,"[""Network Segmentation""]"
Relationship Traversal Queries,What software was involved in the 'WannaCry' attack?,MATCH (c:UcoexCAMPAIGNS {ucoexNAME: 'WannaCry Ransomware Attack'})-[:UCOEXCAMPAIGNUSESSOFTWARE]->(s:UcoexSOFTWARE) RETURN s.ucoexNAME,What software is used by the 'WannaCry Ransomware Attack' campaign?,"[""UcoexCAMPAIGNS"", ""UcoexSOFTWARE""]","[""UCOEXCAMPAIGNUSESSOFTWARE""]","[""ucoexNAME""]",0,"[""WannaCry Ransomware Attack""]"
Relationship Traversal Queries,What common flaws are related to attack pattern 'CAPEC-115'?,"MATCH (capec:UcoexCAPEC {ucoexCAPEC_id: 'CAPEC-115'})-[:UCOEXHASRELATEDWEAKNESS]->(cwe:UcoCWE) RETURN cwe.ucocweID, cwe.ucocweName",What common weaknesses (CWEs) are related to the attack pattern 'CAPEC-115'?,"[""UcoCWE"", ""UcoexCAPEC""]","[""UCOEXHASRELATEDWEAKNESS""]","[""ucocweID"", ""ucocweName"", ""ucoexCAPEC_id""]",0,"[""CAPEC-115""]"
