Category,NaturalLanguageQuestion,CypherQuery,generated_question,ExpectedNodeLabels,ExpectedRelationshipTypes,ExpectedProperties,Hops,ExtractedPropertyValues
Node Lookup Queries,Pull the record for CVE-2021-44228.,MATCH (c:UcoCVE {label: 'CVE-2021-44228'}) RETURN c,What are the full details for 'CVE-2021-44228'?,"[""UcoCVE""]",[],"[""label""]",0,"[""CVE-2021-44228""]"
Node Lookup Queries,Get the name and description for CWE-89.,"MATCH (c:UcoCWE {ucocweID: 'CWE-89'}) RETURN c.ucocweName, c.ucodescription",What is the name and description for weakness 'CWE-89'?,"[""UcoCWE""]",[],"[""ucocweID"", ""ucocweName"", ""ucodescription""]",0,"[""CWE-89""]"
Node Lookup Queries,Show me all data on the 'SolarWinds Orion' campaign.,MATCH (c:UcoexCAMPAIGNS {ucoexNAME: 'SolarWinds Orion'}) RETURN c,Show me all information on the 'SolarWinds Orion' campaign.,"[""UcoexCAMPAIGNS""]",[],"[""ucoexNAME""]",0,"[""SolarWinds Orion""]"
Node Lookup Queries,What's the description and domain for the 'Phishing' ATT&CK technique?,"MATCH (t:UcoexMITREATTACK {ucoexNAME: 'Phishing'}) RETURN t.ucoexDESCRIPTION, t.ucoexDOMAIN",What's the description and domain for the 'Phishing' attack technique?,"[""UcoexMITREATTACK""]",[],"[""ucoexDESCRIPTION"", ""ucoexDOMAIN"", ""ucoexNAME""]",0,"[""Phishing""]"
Node Lookup Queries,Pull the entry for the 'Mimikatz' tool.,MATCH (s:UcoexSOFTWARE {ucoexNAME: 'Mimikatz'}) RETURN s,Find all data for the software 'Mimikatz'.,"[""UcoexSOFTWARE""]",[],"[""ucoexNAME""]",0,"[""Mimikatz""]"
Node Lookup Queries,What campaigns are attributed to the threat actor FIN7?,MATCH (g:UcoexGROUPS {ucoexNAME: 'FIN7'})<-[:UCOEXATTRIBUTEDTO]-(c:UcoexCAMPAIGNS) RETURN c.ucoexNAME,What campaigns are attributed to the 'FIN7' group?,"[""UcoexCAMPAIGNS"", ""UcoexGROUPS""]","[""UCOEXATTRIBUTEDTO""]","[""ucoexNAME""]",1,"[""FIN7""]"
Node Lookup Queries,Get the name and description for CAPEC-540.,"MATCH (c:UcoexCAPEC {ucoexCAPEC_id: 'CAPEC-540'}) RETURN c.ucoexCAPEC_name, c.ucoexDescription",What is the name and description for attack pattern 'CAPEC-540'?,"[""UcoexCAPEC""]",[],"[""ucoexCAPEC_id"", ""ucoexCAPEC_name"", ""ucoexDescription""]",0,"[""CAPEC-540""]"
Node Lookup Queries,List all tracked threat actor groups.,MATCH (g:UcoexGROUPS) RETURN g.ucoexNAME,List the names of all known threat groups.,"[""UcoexGROUPS""]",[],"[""ucoexNAME""]",0,[]
Node Lookup Queries,What's the description for the 'User Account Control' mitigation?,MATCH (m:UcoexMITIGATIONS {ucoexNAME: 'User Account Control'}) RETURN m.ucoexDESCRIPTION,What is the description for the 'User Account Control' mitigation?,"[""UcoexMITIGATIONS""]",[],"[""ucoexDESCRIPTION"", ""ucoexNAME""]",0,"[""User Account Control""]"
Node Lookup Queries,"Show me vulnerability summaries for everything published on March 14, 2017.",MATCH (v:UcoVulnerability) WHERE v.ucopublishedDateTime = datetime('2017-03-14T00:00:00Z') RETURN v.ucosummary,"What are the summaries for vulnerabilities published on March 14, 2017?","[""UcoVulnerability""]",[],"[""ucopublishedDateTime"", ""ucosummary""]",0,"[""2017-03-14T00:00:00Z""]"
Relationship Traversal Queries,Show me campaigns linked to the Lazarus Group.,MATCH (g:UcoexGROUPS {ucoexNAME: 'Lazarus Group'})<-[:UCOEXATTRIBUTEDTO]-(c:UcoexCAMPAIGNS) RETURN c.ucoexNAME,Which campaigns are attributed to the 'Lazarus Group'?,"[""UcoexCAMPAIGNS"", ""UcoexGROUPS""]","[""UCOEXATTRIBUTEDTO""]","[""ucoexNAME""]",1,"[""Lazarus Group""]"
Relationship Traversal Queries,What MITRE ATT&CK TTPs are associated with FIN7?,MATCH (g:UcoexGROUPS {ucoexNAME: 'FIN7'})-[:UCOEXGROUPUSESTECHNIQUE]->(t:UcoexMITREATTACK) RETURN t.ucoexNAME,What attack techniques does the 'FIN7' group use?,"[""UcoexGROUPS"", ""UcoexMITREATTACK""]","[""UCOEXGROUPUSESTECHNIQUE""]","[""ucoexNAME""]",1,"[""FIN7""]"
Relationship Traversal Queries,What CVE identifier corresponds to the 'EternalBlue' vulnerability?,MATCH (v:UcoVulnerability {uri: 'vuln-eternalblue'})-[:UCOHASCVE_ID]->(c:UcoCVE) RETURN c.label,What is the CVE ID for the 'vuln-eternalblue' vulnerability?,"[""UcoCVE"", ""UcoVulnerability""]","[""UCOHASCVE_ID""]","[""label"", ""uri""]",1,"[""vuln-eternalblue""]"
Relationship Traversal Queries,What ATT&CK techniques does 'Network Segmentation' help defend against?,MATCH (m:UcoexMITIGATIONS {ucoexNAME: 'Network Segmentation'})-[:UCOEXMITIGATES]->(t:UcoexMITREATTACK) RETURN t.ucoexNAME,What attack techniques does 'Network Segmentation' help mitigate?,"[""UcoexMITIGATIONS"", ""UcoexMITREATTACK""]","[""UCOEXMITIGATES""]","[""ucoexNAME""]",1,"[""Network Segmentation""]"
Relationship Traversal Queries,What tools or malware were utilized in the WannaCry attack?,MATCH (c:UcoexCAMPAIGNS {ucoexNAME: 'WannaCry Ransomware Attack'})-[:UCOEXCAMPAIGNUSESSOFTWARE]->(s:UcoexSOFTWARE) RETURN s.ucoexNAME,What software was used in the 'WannaCry Ransomware Attack'?,"[""UcoexCAMPAIGNS"", ""UcoexSOFTWARE""]","[""UCOEXCAMPAIGNUSESSOFTWARE""]","[""ucoexNAME""]",1,"[""WannaCry Ransomware Attack""]"
Relationship Traversal Queries,What CWEs are related to the 'CAPEC-115' attack pattern?,"MATCH (capec:UcoexCAPEC {ucoexCAPEC_id: 'CAPEC-115'})-[:UCOEXHASRELATEDWEAKNESS]->(cwe:UcoCWE) RETURN cwe.ucocweID, cwe.ucocweName",What weaknesses (CWEs) are related to the attack pattern 'CAPEC-115'?,"[""UcoCWE"", ""UcoexCAPEC""]","[""UCOEXHASRELATEDWEAKNESS""]","[""ucocweID"", ""ucocweName"", ""ucoexCAPEC_id""]",1,"[""CAPEC-115""]"
Relationship Traversal Queries,What D3FEND countermeasures map to ATT&CK technique T1003?,MATCH (d:UcoexMITRED3FEND)-[:UCOEXHASMITREATTACK]->(t:UcoexMITREATTACK {ucoexNAME: 'T1003'}) RETURN d.ucoexMITRED3FEND_LABEL,What D3FEND defenses are related to the 'T1003' attack technique?,"[""UcoexMITREATTACK"", ""UcoexMITRED3FEND""]","[""UCOEXHASMITREATTACK""]","[""ucoexMITRED3FEND_LABEL"", ""ucoexNAME""]",1,"[""T1003""]"
Relationship Traversal Queries,What products or platforms (CPEs) are affected by CVE-2021-44228?,MATCH (:UcoCVE {label: 'CVE-2021-44228'})-[:UCOEXHASCPE]->(cpe:UcoexCPE) RETURN cpe.cpeName,What products are affected by 'CVE-2021-44228'?,"[""UcoCVE"", ""UcoexCPE""]","[""UCOEXHASCPE""]","[""cpeName"", ""label""]",1,"[""CVE-2021-44228""]"
Relationship Traversal Queries,Show me real-world examples observed for CWE-79.,MATCH (:UcoCWE {ucocweID: 'CWE-79'})-[:UCOHASOBSERVEDEXAMPLE]->(ex:UcoexObservedExample) RETURN ex.ucoexDESCRIPTION,Show me real-world examples for the 'CWE-79' weakness.,"[""UcoCWE"", ""UcoexObservedExample""]","[""UCOHASOBSERVEDEXAMPLE""]","[""ucocweID"", ""ucoexDESCRIPTION""]",1,"[""CWE-79""]"
Multi-hop Queries,What tools are used by the threat actors behind the SolarWinds campaign?,MATCH (g:UcoexGROUPS)<-[:UCOEXATTRIBUTEDTO]-(:UcoexCAMPAIGNS {ucoexNAME: 'SolarWinds Orion Attack'})-[:UCOEXGROUPUSESSOFTWARE]->(s:UcoexSOFTWARE) RETURN s.ucoexNAME,What software was used by the 'SolarWinds Orion Attack' campaign (which has an attributed group)?,"[""UcoexCAMPAIGNS"", ""UcoexGROUPS"", ""UcoexSOFTWARE""]","[""UCOEXATTRIBUTEDTO"", ""UCOEXGROUPUSESSOFTWARE""]","[""ucoexNAME""]",2,"[""SolarWinds Orion Attack""]"
