Category,NaturalLanguageQuestion,CypherQuery,CypherToQuestion,ExpectedNodeLabels,ExpectedRelationshipTypes,ExpectedProperties,Hops,ExtractedPropertyValues
Node Lookup Queries,Show me all data on the 'SolarWinds Orion' campaign.,MATCH (c:UcoexCAMPAIGNS {ucoexNAME: 'SolarWinds Orion'}) RETURN c,Show me all information on the 'SolarWinds Orion' campaign.,"[""UcoexCAMPAIGNS""]",[],"[""ucoexNAME""]",0,"[""SolarWinds Orion""]"
Node Lookup Queries,What campaigns are attributed to the threat actor FIN7?,MATCH (g:UcoexGROUPS {ucoexNAME: 'FIN7'})<-[:UCOEXATTRIBUTEDTO]-(c:UcoexCAMPAIGNS) RETURN c.ucoexNAME,What campaigns are attributed to the 'FIN7' group?,"[""UcoexCAMPAIGNS"", ""UcoexGROUPS""]","[""UCOEXATTRIBUTEDTO""]","[""ucoexNAME""]",1,"[""FIN7""]"
Node Lookup Queries,Get the name and description for CAPEC-540.,"MATCH (c:UcoexCAPEC {ucoexCAPEC_id: 'CAPEC-540'}) RETURN c.ucoexCAPEC_name, c.ucoexDescription",What is the name and description for attack pattern 'CAPEC-540'?,"[""UcoexCAPEC""]",[],"[""ucoexCAPEC_id"", ""ucoexCAPEC_name"", ""ucoexDescription""]",0,"[""CAPEC-540""]"
Node Lookup Queries,"Show me vulnerability summaries for everything published on March 14, 2017.",MATCH (v:UcoVulnerability) WHERE v.ucopublishedDateTime = datetime('2017-03-14T00:00:00Z') RETURN v.ucosummary,"What are the summaries for vulnerabilities published on March 14, 2017?","[""UcoVulnerability""]",[],"[""ucopublishedDateTime"", ""ucosummary""]",0,"[""2017-03-14T00:00:00Z""]"
Relationship Traversal Queries,What CVE identifier corresponds to the 'EternalBlue' vulnerability?,MATCH (v:UcoVulnerability {uri: 'vuln-eternalblue'})-[:UCOHASCVE_ID]->(c:UcoCVE) RETURN c.label,What is the CVE ID for the 'vuln-eternalblue' vulnerability?,"[""UcoCVE"", ""UcoVulnerability""]","[""UCOHASCVE_ID""]","[""label"", ""uri""]",1,"[""vuln-eternalblue""]"
Relationship Traversal Queries,What tools or malware were utilized in the WannaCry attack?,MATCH (c:UcoexCAMPAIGNS {ucoexNAME: 'WannaCry Ransomware Attack'})-[:UCOEXCAMPAIGNUSESSOFTWARE]->(s:UcoexSOFTWARE) RETURN s.ucoexNAME,What software was used in the 'WannaCry Ransomware Attack'?,"[""UcoexCAMPAIGNS"", ""UcoexSOFTWARE""]","[""UCOEXCAMPAIGNUSESSOFTWARE""]","[""ucoexNAME""]",1,"[""WannaCry Ransomware Attack""]"
Relationship Traversal Queries,What CWEs are related to the 'CAPEC-115' attack pattern?,"MATCH (capec:UcoexCAPEC {ucoexCAPEC_id: 'CAPEC-115'})-[:UCOEXHASRELATEDWEAKNESS]->(cwe:UcoCWE) RETURN cwe.ucocweID, cwe.ucocweName",What weaknesses (CWEs) are related to the attack pattern 'CAPEC-115'?,"[""UcoCWE"", ""UcoexCAPEC""]","[""UCOEXHASRELATEDWEAKNESS""]","[""ucocweID"", ""ucocweName"", ""ucoexCAPEC_id""]",1,"[""CAPEC-115""]"
Relationship Traversal Queries,What D3FEND countermeasures map to ATT&CK technique T1003?,MATCH (d:UcoexMITRED3FEND)-[:UCOEXHASMITREATTACK]->(t:UcoexMITREATTACK {ucoexNAME: 'T1003'}) RETURN d.ucoexMITRED3FEND_LABEL,What D3FEND defenses are related to the 'T1003' attack technique?,"[""UcoexMITREATTACK"", ""UcoexMITRED3FEND""]","[""UCOEXHASMITREATTACK""]","[""ucoexMITRED3FEND_LABEL"", ""ucoexNAME""]",1,"[""T1003""]"
Multi-hop Queries,What tools are used by the threat actors behind the SolarWinds campaign?,MATCH (g:UcoexGROUPS)<-[:UCOEXATTRIBUTEDTO]-(:UcoexCAMPAIGNS {ucoexNAME: 'SolarWinds Orion Attack'})-[:UCOEXGROUPUSESSOFTWARE]->(s:UcoexSOFTWARE) RETURN s.ucoexNAME,What software was used by the 'SolarWinds Orion Attack' campaign (which has an attributed group)?,"[""UcoexCAMPAIGNS"", ""UcoexGROUPS"", ""UcoexSOFTWARE""]","[""UCOEXATTRIBUTEDTO"", ""UCOEXGROUPUSESSOFTWARE""]","[""ucoexNAME""]",2,"[""SolarWinds Orion Attack""]"
Multi-hop Queries,Which CVEs were exploited during the WannaCry campaign?,MATCH (:UcoexCAMPAIGNS {ucoexNAME: 'WannaCry Ransomware Attack'})-[:UCOEXCAMPAIGNUSESTECHNIQUE]->(t:UcoexMITREATTACK)<-[:UCOEXHASTAXONOMYMAPPING]-(:UcoexCAPEC)-[:UCOEXHASRELATEDWEAKNESS]->(:UcoCWE)<-[:UCOHASWEAKNESS]-(et:UcoExploitTarget)-[:UCOHASVULNERABILITY]->(v:UcoVulnerability)-[:UCOHASCVE_ID]->(cve:UcoCVE) RETURN cve.label,"What CVEs are exploited by the 'WannaCry' campaign, based on its chain of techniques, attack patterns, and weaknesses?","[""UcoCVE"", ""UcoCWE"", ""UcoExploitTarget"", ""UcoVulnerability"", ""UcoexCAMPAIGNS"", ""UcoexCAPEC"", ""UcoexMITREATTACK""]","[""UCOEXCAMPAIGNUSESTECHNIQUE"", ""UCOEXHASRELATEDWEAKNESS"", ""UCOEXHASTAXONOMYMAPPING"", ""UCOHASCVE_ID"", ""UCOHASVULNERABILITY"", ""UCOHASWEAKNESS""]","[""label"", ""ucoexNAME""]",6,"[""WannaCry Ransomware Attack""]"
