sample_id,question,hop_count,question_type,first_node,first_found,second_node,second_found,third_node,third_found,coverage_count,total_gold_nodes,coverage_ratio,coverage_percentage,key_entities_count,nodes_found,gold_nodes
1,How could Indian Critical Infrastructure Intrusions enable C...,2,"<s,*,o>",http://example.com/ucoex#C0043,Yes,http://example.com/ucoex#T1599,Yes,http://example.com/ucoex#M1043,Yes,3,3,1.0,100.00%,8,http://example.com/ucoex#C0043; http://example.com/ucoex#T1599; http://example.com/ucoex#M1043,http://example.com/ucoex#C0043; http://example.com/ucoex#T1599; http://example.com/ucoex#M1043
2,Which factors link Indian Critical Infrastructure Intrusions...,2,"<s,*,o>",http://example.com/ucoex#C0043,No,http://example.com/ucoex#T1599,Yes,http://example.com/ucoex#M1043,Yes,2,3,0.6666666666666666,66.67%,6,http://example.com/ucoex#T1599; http://example.com/ucoex#M1043,http://example.com/ucoex#C0043; http://example.com/ucoex#T1599; http://example.com/ucoex#M1043
3,How might Indian Critical Infrastructure Intrusions escalate...,2,"<s,*,o>",http://example.com/ucoex#C0043,Yes,http://example.com/ucoex#T1599,Yes,http://example.com/ucoex#M1043,Yes,3,3,1.0,100.00%,7,http://example.com/ucoex#C0043; http://example.com/ucoex#T1599; http://example.com/ucoex#M1043,http://example.com/ucoex#C0043; http://example.com/ucoex#T1599; http://example.com/ucoex#M1043
4,What links Indian Critical Infrastructure Intrusions to Cred...,2,"<s,*,o>",http://example.com/ucoex#C0043,Yes,http://example.com/ucoex#T1599,Yes,http://example.com/ucoex#M1043,Yes,3,3,1.0,100.00%,7,http://example.com/ucoex#C0043; http://example.com/ucoex#T1599; http://example.com/ucoex#M1043,http://example.com/ucoex#C0043; http://example.com/ucoex#T1599; http://example.com/ucoex#M1043
5,How does Indian Critical Infrastructure Intrusions relate to...,2,"<s,*,o>",http://example.com/ucoex#C0043,No,http://example.com/ucoex#T1599,Yes,http://example.com/ucoex#M1043,Yes,2,3,0.6666666666666666,66.67%,14,http://example.com/ucoex#T1599; http://example.com/ucoex#M1043,http://example.com/ucoex#C0043; http://example.com/ucoex#T1599; http://example.com/ucoex#M1043
6,How could BUSHWALK’s use of Traffic Signaling inform additio...,2,"<s,p,*>",http://example.com/ucoex#S1118,No,http://example.com/ucoex#T1205,No,http://example.com/ucoex#M1037,Yes,1,3,0.3333333333333333,33.33%,6,http://example.com/ucoex#M1037,http://example.com/ucoex#S1118; http://example.com/ucoex#T1205; http://example.com/ucoex#M1037
7,Which defensive gaps emerge when BUSHWALK leverages Traffic ...,2,"<s,p,*>",http://example.com/ucoex#S1118,No,http://example.com/ucoex#T1205,No,http://example.com/ucoex#M1037,Yes,1,3,0.3333333333333333,33.33%,12,http://example.com/ucoex#M1037,http://example.com/ucoex#S1118; http://example.com/ucoex#T1205; http://example.com/ucoex#M1037
8,How might BUSHWALK’s traffic-signaling behavior bypass or st...,2,"<s,p,*>",http://example.com/ucoex#S1118,No,http://example.com/ucoex#T1205,No,http://example.com/ucoex#M1037,No,0,3,0.0,0.00%,5,,http://example.com/ucoex#S1118; http://example.com/ucoex#T1205; http://example.com/ucoex#M1037
9,Which network-filtering measures most directly counter BUSHW...,2,"<s,p,*>",http://example.com/ucoex#S1118,No,http://example.com/ucoex#T1205,No,http://example.com/ucoex#M1037,Yes,1,3,0.3333333333333333,33.33%,5,http://example.com/ucoex#M1037,http://example.com/ucoex#S1118; http://example.com/ucoex#T1205; http://example.com/ucoex#M1037
10,How could insights from BUSHWALK’s signaling technique impro...,2,"<s,p,*>",http://example.com/ucoex#S1118,No,http://example.com/ucoex#T1205,Yes,http://example.com/ucoex#M1037,Yes,2,3,0.6666666666666666,66.67%,11,http://example.com/ucoex#T1205; http://example.com/ucoex#M1037,http://example.com/ucoex#S1118; http://example.com/ucoex#T1205; http://example.com/ucoex#M1037
