Category,NaturalLanguageQuestion,CypherQuery,CypherToQuestion
Node Lookup Queries,Pull the record for CVE-2021-44228.,MATCH (c:UcoCVE {label: 'CVE-2021-44228'}) RETURN c,What are the full details for 'CVE-2021-44228'?
Node Lookup Queries,Get the name and description for CWE-89.,"MATCH (c:UcoCWE {ucocweID: 'CWE-89'}) RETURN c.ucocweName, c.ucodescription",What is the name and description for weakness 'CWE-89'?
Node Lookup Queries,Show me all data on the 'SolarWinds Orion' campaign.,MATCH (c:UcoexCAMPAIGNS {ucoexNAME: 'SolarWinds Orion'}) RETURN c,Show me all information on the 'SolarWinds Orion' campaign.
Node Lookup Queries,What's the description and domain for the 'Phishing' ATT&CK technique?,"MATCH (t:UcoexMITREATTACK {ucoexNAME: 'Phishing'}) RETURN t.ucoexDESCRIPTION, t.ucoexDOMAIN",What's the description and domain for the 'Phishing' attack technique?
Node Lookup Queries,Pull the entry for the 'Mimikatz' tool.,MATCH (s:UcoexSOFTWARE {ucoexNAME: 'Mimikatz'}) RETURN s,Find all data for the software 'Mimikatz'.
Node Lookup Queries,What campaigns are attributed to the threat actor FIN7?,MATCH (g:UcoexGROUPS {ucoexNAME: 'FIN7'})<-[:UCOEXATTRIBUTEDTO]-(c:UcoexCAMPAIGNS) RETURN c.ucoexNAME,What campaigns are attributed to the 'FIN7' group?
Node Lookup Queries,Get the name and description for CAPEC-540.,"MATCH (c:UcoexCAPEC {ucoexCAPEC_id: 'CAPEC-540'}) RETURN c.ucoexCAPEC_name, c.ucoexDescription",What is the name and description for attack pattern 'CAPEC-540'?
Node Lookup Queries,List all tracked threat actor groups.,MATCH (g:UcoexGROUPS) RETURN g.ucoexNAME,List the names of all known threat groups.
Node Lookup Queries,What's the description for the 'User Account Control' mitigation?,MATCH (m:UcoexMITIGATIONS {ucoexNAME: 'User Account Control'}) RETURN m.ucoexDESCRIPTION,What is the description for the 'User Account Control' mitigation?
Node Lookup Queries,"Show me vulnerability summaries for everything published on March 14, 2017.",MATCH (v:UcoVulnerability) WHERE v.ucopublishedDateTime = datetime('2017-03-14T00:00:00Z') RETURN v.ucosummary,"What are the summaries for vulnerabilities published on March 14, 2017?"
Relationship Traversal Queries,Show me campaigns linked to the Lazarus Group.,MATCH (g:UcoexGROUPS {ucoexNAME: 'Lazarus Group'})<-[:UCOEXATTRIBUTEDTO]-(c:UcoexCAMPAIGNS) RETURN c.ucoexNAME,Which campaigns are attributed to the 'Lazarus Group'?
Relationship Traversal Queries,What MITRE ATT&CK TTPs are associated with FIN7?,MATCH (g:UcoexGROUPS {ucoexNAME: 'FIN7'})-[:UCOEXGROUPUSESTECHNIQUE]->(t:UcoexMITREATTACK) RETURN t.ucoexNAME,What attack techniques does the 'FIN7' group use?
Relationship Traversal Queries,What CVE identifier corresponds to the 'EternalBlue' vulnerability?,MATCH (v:UcoVulnerability {uri: 'vuln-eternalblue'})-[:UCOHASCVE_ID]->(c:UcoCVE) RETURN c.label,What is the CVE ID for the 'vuln-eternalblue' vulnerability?
Relationship Traversal Queries,What ATT&CK techniques does 'Network Segmentation' help defend against?,MATCH (m:UcoexMITIGATIONS {ucoexNAME: 'Network Segmentation'})-[:UCOEXMITIGATES]->(t:UcoexMITREATTACK) RETURN t.ucoexNAME,What attack techniques does 'Network Segmentation' help mitigate?
Relationship Traversal Queries,What tools or malware were utilized in the WannaCry attack?,MATCH (c:UcoexCAMPAIGNS {ucoexNAME: 'WannaCry Ransomware Attack'})-[:UCOEXCAMPAIGNUSESSOFTWARE]->(s:UcoexSOFTWARE) RETURN s.ucoexNAME,What software was used in the 'WannaCry Ransomware Attack'?
Relationship Traversal Queries,What CWEs are related to the 'CAPEC-115' attack pattern?,"MATCH (capec:UcoexCAPEC {ucoexCAPEC_id: 'CAPEC-115'})-[:UCOEXHASRELATEDWEAKNESS]->(cwe:UcoCWE) RETURN cwe.ucocweID, cwe.ucocweName",What weaknesses (CWEs) are related to the attack pattern 'CAPEC-115'?
Relationship Traversal Queries,What D3FEND countermeasures map to ATT&CK technique T1003?,MATCH (d:UcoexMITRED3FEND)-[:UCOEXHASMITREATTACK]->(t:UcoexMITREATTACK {ucoexNAME: 'T1003'}) RETURN d.ucoexMITRED3FEND_LABEL,What D3FEND defenses are related to the 'T1003' attack technique?
Relationship Traversal Queries,What products or platforms (CPEs) are affected by CVE-2021-44228?,MATCH (:UcoCVE {label: 'CVE-2021-44228'})-[:UCOEXHASCPE]->(cpe:UcoexCPE) RETURN cpe.cpeName,What products are affected by 'CVE-2021-44228'?
Relationship Traversal Queries,Show me real-world examples observed for CWE-79.,MATCH (:UcoCWE {ucocweID: 'CWE-79'})-[:UCOHASOBSERVEDEXAMPLE]->(ex:UcoexObservedExample) RETURN ex.ucoexDESCRIPTION,Show me real-world examples for the 'CWE-79' weakness.
Multi-hop Queries,What tools are used by the threat actors behind the SolarWinds campaign?,MATCH (g:UcoexGROUPS)<-[:UCOEXATTRIBUTEDTO]-(:UcoexCAMPAIGNS {ucoexNAME: 'SolarWinds Orion Attack'})-[:UCOEXGROUPUSESSOFTWARE]->(s:UcoexSOFTWARE) RETURN s.ucoexNAME,What software was used by the 'SolarWinds Orion Attack' campaign (which has an attributed group)?
Multi-hop Queries,Which CVEs were exploited during the WannaCry campaign?,MATCH (:UcoexCAMPAIGNS {ucoexNAME: 'WannaCry Ransomware Attack'})-[:UCOEXCAMPAIGNUSESTECHNIQUE]->(t:UcoexMITREATTACK)<-[:UCOEXHASTAXONOMYMAPPING]-(:UcoexCAPEC)-[:UCOEXHASRELATEDWEAKNESS]->(:UcoCWE)<-[:UCOHASWEAKNESS]-(et:UcoExploitTarget)-[:UCOHASVULNERABILITY]->(v:UcoVulnerability)-[:UCOHASCVE_ID]->(cve:UcoCVE) RETURN cve.label,"What CVEs are exploited by the 'WannaCry' campaign, based on its chain of techniques, attack patterns, and weaknesses?"
Multi-hop Queries,Which threat actors use TTPs that 'Network Segmentation' can block?,MATCH (g:UcoexGROUPS)-[:UCOEXGROUPUSESTECHNIQUE]->(t:UcoexMITREATTACK)<-[:UCOEXMITIGATES]-(:UcoexMITIGATIONS {ucoexNAME: 'Network Segmentation'}) RETURN g.ucoexNAME,Which threat groups use techniques that 'Network Segmentation' can mitigate?
Multi-hop Queries,Show TTPs used by APT28 and their corresponding CAPEC attack patterns.,"MATCH (:UcoexGROUPS {ucoexNAME: 'APT28'})-[:UCOEXGROUPUSESTECHNIQUE]->(t:UcoexMITREATTACK)<-[:UCOEXHASTAXONOMYMAPPING]-(c:UcoexCAPEC) RETURN t.ucoexNAME, c.ucoexCAPEC_name","What techniques does 'APT28' use, and which CAPEC attack patterns do they map to?"
Multi-hop Queries,"Find vulnerabilities that share the same weakness type (CWE) as CVE-2017-0144, based on observed incidents.",MATCH (:UcoCVE {label: 'CVE-2017-0144'})<-[:UCOEXEXAMPLEOBSERVEDIN]-(:UcoexObservedExample)<-[:UCOHASOBSERVEDEXAMPLE]-(w:UcoCWE)<-[:UCOHASWEAKNESS]-(:UcoExploitTarget)-[:UCOHASVULNERABILITY]->(v:UcoVulnerability) RETURN v.ucosummary,Find vulnerabilities linked to weaknesses that were observed in an example related to 'CVE-2017-0144'.
Multi-hop Queries,What mitigations exist for the TTPs associated with FIN7's known toolset?,MATCH (:UcoexGROUPS {ucoexNAME: 'FIN7'})-[:UCOEXGROUPUSESSOFTWARE]->(:UcoexSOFTWARE)-[:UCOEXSOFTWAREUSESTECHNIQUE]->(t:UcoexMITREATTACK)<-[:UCOEXMITIGATES]-(m:UcoexMITIGATIONS) RETURN m.ucoexNAME,What are the mitigations for techniques used by the software in 'FIN7's' toolkit?
Multi-hop Queries,Which campaigns leverage tools that rely on the 'PowerShell' TTP?,MATCH (c:UcoexCAMPAIGNS)-[:UCOEXCAMPAIGNUSESSOFTWARE]->(:UcoexSOFTWARE)-[:UCOEXSOFTWAREUSESTECHNIQUE]->(:UcoexMITREATTACK {ucoexNAME: 'PowerShell'}) RETURN c.ucoexNAME,Which campaigns use software that relies on the 'PowerShell' technique?
Multi-hop Queries,Which threat actors have TTP overlap with the SolarWinds campaign?,MATCH (:UcoexCAMPAIGNS {ucoexNAME: 'SolarWinds Orion Attack'})-[:UCOEXCAMPAIGNUSESTECHNIQUE]->(t:UcoexMITREATTACK)<-[:UCOEXGROUPUSESTECHNIQUE]-(g:UcoexGROUPS) RETURN g.ucoexNAME,Which groups use the same attack techniques as the 'SolarWinds Orion Attack' campaign?
