"Category","NaturalLanguageQuestion","CypherQuery","generated_question"
"Relationship Traversal Queries","Find the CVE associated with the Observed Example URI 'http://example.com/obs1'.","MATCH (o:UcoexObservedExample {uri: 'http://example.com/obs1'})-[:UCOEXEXAMPLEOBSERVEDIN]->(c:UcoCVE) RETURN c.ucovectorString, c.ucovulnStatus","For the specific observed example 'http://example.com/obs1', what vulnerability (CVE) is it an example of? Show the CVE's vector string and status."
"Relationship Traversal Queries","List all Observed Example URIs for the CVE with vector 'CVSS:3.1/AV:N/AC:L...'.","MATCH (o:UcoexObservedExample)-[:UCOEXEXAMPLEOBSERVEDIN]->(c:UcoCVE {ucovectorString: 'CVSS:3.1/AV:N/AC:L...'}) RETURN o.uri","For the specific vulnerability (CVE) with the vector 'CVSS:3.1/AV:N/AC:L...', what real-world examples (by URI) do we have in the database?"
"Relationship Traversal Queries","What MITRE ATT&CK techniques are mapped from 'CAPEC-100: SQL Injection'?","MATCH (c:UcoexCAPEC {ucoexCAPEC_name: 'CAPEC-100: SQL Injection'})-[:UCOEXHASTAXONOMYMAPPING]->(a:UcoexMITREATTACK) RETURN a.ucoexDESCRIPTION, a.uri","If an attacker uses the 'CAPEC-100: SQL Injection' pattern, what specific MITRE ATT&CK hacking techniques does this relate to? Show the technique's description and URI."
"Relationship Traversal Queries","Which CAPECs map to the MITRE ATT&CK technique URI 'http://mitre.org/attack/T1548'?","MATCH (c:UcoexCAPEC)-[:UCOEXHASTAXONOMYMAPPING]->(a:UcoexMITREATTACK {uri: 'http://mitre.org/attack/T1548'}) RETURN c.ucoexCAPEC_name, c.ucoexDescription","What attack patterns (CAPECs) are related to the specific MITRE ATT&CK technique 'http://mitre.org/attack/T1548'? Show the CAPEC's name and description."
"Relationship Traversal Queries","What MITRE ATT&CK techniques are used by 'Cobalt Strike'?","MATCH (s:UcoexSOFTWARE {ucoexDESCRIPTION: 'Cobalt Strike'})-[:UCOEXSOFTWAREUSESTECHNIQUE]->(a:UcoexMITREATTACK) RETURN a.ucoexDESCRIPTION, a.uri","What specific hacking techniques (MITRE ATT&CK) are known to be used by the 'Cobalt Strike' software? Show the technique's description and URI."
"Relationship Traversal Queries","What software uses the MITRE ATT&CK technique URI 'http://mitre.org/attack/T1059' (Command-Line Interface)?","MATCH (s:UcoexSOFTWARE)-[:UCOEXSOFTWAREUSESTECHNIQUE]->(a:UcoexMITREATTACK {uri: 'http://mitre.org/attack/T1059'}) RETURN s.ucoexDESCRIPTION, s.uri","What malware or tools (software) are known to use the 'Command-Line Interface' technique (T1059)? Show the software's description and URI."
"Relationship Traversal Queries","Find software that uses MITRE ATT&CK techniques mapped from 'CAPEC-100: SQL Injection'.","MATCH (s:UcoexSOFTWARE)-[:UCOEXSOFTWAREUSESTECHNIQUE]->(a:UcoexMITREATTACK)<-[:UCOEXHASTAXONOMYMAPPING]-(c:UcoexCAPEC {ucoexCAPEC_name: 'CAPEC-100: SQL Injection'}) RETURN DISTINCT s.ucoexDESCRIPTION, a.ucoexDESCRIPTION","Show me software (s) that uses a technique (a) which, in turn, is related to the 'SQL Injection' attack pattern (c). Return the distinct software and technique descriptions."
"Relationship Traversal Queries","List all CVEs that have an observed example, showing their vector string and vulnerability status.","MATCH (o:UcoexObservedExample)-[:UCOEXEXAMPLEOBSERVEDIN]->(c:UcoCVE) RETURN DISTINCT c.ucovectorString, c.ucovulnStatus","Which vulnerabilities (CVEs) in our database have at least one real-world example linked to them? Show the distinct vector string and status for each."
"Relationship Traversal Queries","Which CAPECs have a mapping to a MITRE ATT&CK technique?","MATCH (c:UcoexCAPEC)-[:UCOEXHASTAXONOMYMAPPING]->(a:UcoexMITREATTACK) RETURN DISTINCT c.ucoexCAPEC_name, c.uri","Show me all the attack patterns (CAPECs) that are officially linked to a MITRE ATT&CK technique. Return the distinct CAPEC name and its URI."
"Relationship Traversal Queries","Which software has known MITRE ATT&CK techniques associated with it?","MATCH (s:UcoexSOFTWARE)-[:UCOEXSOFTWAREUSESTECHNIQUE]->(a:UcoexMITREATTACK) RETURN DISTINCT s.ucoexDESCRIPTION, s.uri","Show me all the software in our database that has one or more hacking techniques (MITRE ATT&CK) linked to it. Return the distinct software description and URI."
"Relationship Traversal Queries","Show me CAPECs and Software that relate to the same MITRE ATT&CK technique.","MATCH (c:UcoexCAPEC)-[:UCOEXHASTAXONOMYMAPPING]->(a:UcoexMITREATTACK)<-[:UCOEXSOFTWAREUSESTECHNIQUE]-(s:UcoexSOFTWARE) RETURN c.ucoexCAPEC_name AS capec, a.ucoexDESCRIPTION AS technique, s.ucoexDESCRIPTION AS software","Find cases where an attack pattern (CAPEC) and a piece of software are both linked to the *same* hacking technique (MITRE ATT&CK). Show the CAPEC, the technique, and the software."
"Relationship Traversal Queries","List all observed examples (by URI) related to CVEs with an 'Analyzed' vulnerability status.","MATCH (o:UcoexObservedExample)-[:UCOEXEXAMPLEOBSERVEDIN]->(c:UcoCVE {ucovulnStatus: 'Analyzed'}) RETURN o.uri","What are the URIs for all real-world examples that are linked to vulnerabilities (CVEs) currently marked with the status 'Analyzed'?"
