"Category","NaturalLanguageQuestion","CypherQuery","generated_question"
"Multi-hop Queries","Find mitigations for techniques used by 'APT28'.","MATCH (g:UcoexGROUPS {ucoexNAME: 'APT28'})-[:UCOEXGROUPUSESTECHNIQUE]->(t:UcoexMITREATTACK)<-[:UCOEXMITIGATES]-(m:UcoexMITIGATIONS) RETURN m.ucoexNAME, t.ucoexNAME"
"Multi-hop Queries","What other techniques are used by the group responsible for the 'WannaCry' campaign?","MATCH (c:UcoexCAMPAIGNS {ucoexNAME: 'WannaCry'})-[:UCOEXATTRIBUTEDTO]->(g:UcoexGROUPS)-[:UCOEXGROUPUSESTECHNIQUE]->(t:UcoexMITREATTACK) RETURN g.ucoexNAME, t.ucoexNAME"
"Multi-hop Queries","What specific software (CPEs) are affected by 'CVE-2023-1234'?","MATCH (c:UcoCVE {label: 'CVE-2023-1234'})-[:UCOEXHASCPE]->(p:UcoexCPE) RETURN p.cpeName"
"Multi-hop Queries","What weaknesses (CWEs) are associated with real-world examples observed in 'CVE-2024-0001'?","MATCH (c:UcoCVE {label: 'CVE-2024-0001'})<-[:UCOEXEXAMPLEOBSERVEDIN]-(o:UcoexObservedExample)<-[:UCOHASOBSERVEDEXAMPLE]-(w:UcoCWE) RETURN w.ucocweID, w.ucocweName"
"Multi-hop Queries","Which threat groups use techniques that are also employed by the 'Cobalt Strike' software?","MATCH (s:UcoexSOFTWARE {ucoexNAME: 'Cobalt Strike'})-[:UCOEXSOFTWAREUSESTECHNIQUE]->(t:UcoexMITREATTACK)<-[:UCOEXGROUPUSESTECHNIQUE]-(g:UcoexGROUPS) RETURN DISTINCT g.ucoexNAME"
"Multi-hop Queries","What exploit targets are vulnerable to weaknesses related to the 'SQL Injection' (CAPEC-66) attack pattern?","MATCH (ca:UcoexCAPEC {ucoexCAPEC_id: '66'})-[:UCOEXHASRELATEDWEAKNESS]->(cw:UcoCWE)<-[:UCOHASWEAKNESS]-(et:UcoExploitTarget) RETURN et.uri"
"Multi-hop Queries","What software uses ATT&CK techniques that are countered by the D3FEND technique 'Decoy File'?","MATCH (d:UcoexMITRED3FEND {ucoexMITRED3FEND_LABEL: 'Decoy File'})-[:UCOEXHASMITREATTACK]->(t:UcoexMITREATTACK)<-[:UCOEXSOFTWAREUSESTECHNIQUE]-(s:UcoexSOFTWARE) RETURN s.ucoexNAME"
"Multi-hop Queries","Find campaigns that use the same software as the 'Lazarus Group'.","MATCH (g:UcoexGROUPS {ucoexNAME: 'Lazarus Group'})-[:UCOEXGROUPUSESSOFTWARE]->(s:UcoexSOFTWARE)<-[:UCOEXCAMPAIGNUSESSOFTWARE]-(c:UcoexCAMPAIGNS) RETURN DISTINCT c.ucoexNAME"
"Multi-hop Queries","Show mitigations for ATT&CK techniques associated with CAPEC ID '125' (Flooding).","MATCH (ca:UcoexCAPEC {ucoexCAPEC_id: '125'})-[:UCOEXHASTAXONOMYMAPPING]->(t:UcoexMITREATTACK)<-[:UCOEXMITIGATES]-(m:UcoexMITIGATIONS) RETURN m.ucoexNAME"
"Multi-hop Queries","List all products (CPEs) affected by vulnerabilities published after '2024-01-01'.","MATCH (v:UcoVulnerability)-[:UCOHASCVE_ID]->(c:UcoCVE)-[:UCOEXHASCPE]->(p:UcoexCPE) WHERE v.ucopublishedDateTime > '2024-01-01T00:00:00' RETURN p.cpeName, c.label"
"Multi-hop Queries","What techniques are used in campaigns attributed to 'APT29'?","MATCH (g:UcoexGROUPS {ucoexNAME: 'APT29'})<-[:UCOEXATTRIBUTEDTO]-(c:UcoexCAMPAIGNS)-[:UCOEXCAMPAIGNUSESTECHNIQUE]->(t:UcoexMITREATTACK) RETURN c.ucoexNAME, t.ucoexNAME"
"Multi-hop Queries","For CWE-79 (Cross-site Scripting), find all related CAPEC attack patterns and their corresponding MITRE ATT&CK techniques.","MATCH (w:UcoCWE {ucocweID: 'CWE-79'})<-[:UCOEXHASRELATEDWEAKNESS]-(ca:UcoexCAPEC)-[:UCOEXHASTAXONOMYMAPPING]->(t:UcoexMITREATTACK) RETURN ca.ucoexCAPEC_name, t.ucoexNAME"
"Multi-hop Queries","Find all 'CRITICAL' severity CVEs associated with 'WebServer' exploit targets.","MATCH (et:UcoExploitTarget {uri: 'WebServer'})-[:UCOHASVULNERABILITY]->(v:UcoVulnerability)-[:UCOHASCVE_ID]->(c:UcoCVE {ucobaseSeverity: 'CRITICAL'}) RETURN c.label"
"Multi-hop Queries","What software tools implement attack techniques used by the 'Sandworm Team'?","MATCH (g:UcoexGROUPS {ucoexNAME: 'Sandworm Team'})-[:UCOEXGROUPUSESTECHNIQUE]->(t:UcoexMITREATTACK)<-[:UCOEXSOFTWAREUSESTECHNIQUE]-(s:UcoexSOFTWARE) RETURN DISTINCT s.ucoexNAME"
"Multi-hop Queries","Find attack patterns (CAPEC) related to weaknesses (CWE) that have observed examples in 'CVE-2021-44228' (Log4Shell).","MATCH (c:UcoCVE {label: 'CVE-2021-44228'})<-[:UCOEXEXAMPLEOBSERVEDIN]-(o:UcoexObservedExample)<-[:UCOHASOBSERVEDEXAMPLE]-(w:UcoCWE)<-[:UCOEXHASRELATEDWEAKNESS]-(ca:UcoexCAPEC) RETURN w.ucocweID, ca.ucoexCAPEC_name"
"Aggregation and Counting","How many distinct ATT&CK techniques does each threat group use?","MATCH (g:UcoexGROUPS)-[:UCOEXGROUPUSESTECHNIQUE]->(t:UcoexMITREATTACK) RETURN g.ucoexNAME, count(DISTINCT t) AS techniqueCount ORDER BY techniqueCount DESC"
"Aggregation and Counting","List all software products (CPEs) and the total number of CVEs affecting them.","MATCH (c:UcoCVE)-[:UCOEXHASCPE]->(p:UcoexCPE) RETURN p.cpeName, count(c) AS cveCount ORDER BY cveCount DESC"
"Aggregation and Counting","How many different software tools are used in each campaign?","MATCH (c:UcoexCAMPAIGNS)-[:UCOEXCAMPAIGNUSESSOFTWARE]->(s:UcoexSOFTWARE) RETURN c.ucoexNAME, count(s) AS softwareCount"
"Aggregation and Counting","What is the average exploitability score for 'HIGH' severity CVEs?","MATCH (c:UcoCVE {ucobaseSeverity: 'HIGH'}) RETURN avg(toFloat(c.ucoexploitabilityScore)) AS avgExploitability"
"Aggregation and Counting","Which ATT&CK techniques are used by the most threat groups? List the top 5.","MATCH (g:UcoexGROUPS)-[:UCOEXGROUPUSESTECHNIQUE]->(t:UcoexMITREATTACK) RETURN t.ucoexNAME, count(g) AS groupCount ORDER BY groupCount DESC LIMIT 5"
"Aggregation and Counting","How many related weaknesses (CWEs) does each 'High' severity CAPEC pattern have?","MATCH (ca:UcoexCAPEC {ucoexSeverity: 'High'})-[:UCOEXHASRELATEDWEAKNESS]->(w:UcoCWE) RETURN ca.ucoexCAPEC_name, count(w) AS weaknessCount"
"Aggregation and Counting","Show the top 10 ATT&CK techniques with the most available mitigations.","MATCH (m:UcoexMITIGATIONS)-[:UCOEXMITIGATES]->(t:UcoexMITREATTACK) RETURN t.ucoexNAME, count(m) AS mitigationCount ORDER BY mitigationCount DESC LIMIT 10"
"Aggregation and Counting","Give me a breakdown of all CVEs by their vulnerability status (e.g., 'Analyzed', 'Modified').","MATCH (c:UcoCVE) RETURN c.ucovulnStatus, count(c) AS statusCount"
"Aggregation and Counting","Which CPE (product) has the most 'HIGH' severity CVEs?","MATCH (c:UcoCVE {ucobaseSeverity: 'HIGH'})-[:UCOEXHASCPE]->(p:UcoexCPE) RETURN p.cpeName, count(c) AS highSeverityCount ORDER BY highSeverityCount DESC LIMIT 1"
"Aggregation and Counting","List all campaigns and the number of ATT&CK techniques they employ.","MATCH (c:UcoexCAMPAIGNS)-[:UCOEXCAMPAIGNUSESTECHNIQUE]->(t:UcoexMITREATTACK) RETURN c.ucoexNAME, count(t) AS techniqueCount"
"Aggregation and Counting","List all unique software names used by 'APT28'.","MATCH (g:UcoexGROUPS {ucoexNAME: 'APT28'})-[:UCOEXGROUPUSESSOFTWARE]->(s:UcoexSOFTWARE) RETURN collect(DISTINCT s.ucoexNAME) AS softwareTools"
"Aggregation and Counting","How many observed examples are there for 'Pillar' abstraction CWEs?","MATCH (w:UcoCWE {ucoabstraction: 'Pillar'})-[:UCOHASOBSERVEDEXAMPLE]->(o:UcoexObservedExample) RETURN count(o) AS exampleCount"
"Aggregation and Counting","What is the maximum impact score for a CVE that requires user interaction?","MATCH (c:UcoCVE {ucouserInteractionRequired: 'true'}) RETURN max(toFloat(c.ucoimpactScore)) AS maxImpactScore"
"Aggregation and Counting","How many CAPEC attack patterns exist for each 'likelihood of attack' category?","MATCH (ca:UcoexCAPEC) RETURN ca.ucoexLikelihood, count(ca) AS patternCount"
"Aggregation and Counting","Count the number of related CWEs for all CAPEC patterns with 'Low' severity.","MATCH (ca:UcoexCAPEC {ucoexSeverity: 'Low'})-[:UCOEXHASRELATEDWEAKNESS]->(w:UcoCWE) RETURN count(w) AS totalRelatedWeaknesses"
"Conditional and Boolean Queries","Find 'CRITICAL' CVEs that allow full privilege escalation AND do NOT require user interaction.","MATCH (c:UcoCVE {ucobaseSeverity: 'CRITICAL', ucoobtainAllPrivilege: 'true', ucouserInteractionRequired: 'false'}) RETURN c.label"
"Conditional and Boolean Queries","Which threat groups use either 'Phishing' OR 'Drive-by Compromise' techniques?","MATCH (g:UcoexGROUPS)-[:UCOEXGROUPUSESTECHNIQUE]->(t:UcoexMITREATTACK) WHERE t.ucoexNAME = 'Phishing' OR t.ucoexNAME = 'Drive-by Compromise' RETURN DISTINCT g.ucoexNAME"
"Conditional and Boolean Queries","Find all 'Base' abstraction CWEs whose description contains 'buffer' AND have a 'Stable' status.","MATCH (w:UcoCWE {ucoabstraction: 'Base', ucostatus: 'Stable'}) WHERE w.ucodescription CONTAINS 'buffer' RETURN w.ucocweID, w.ucocweName"
"Conditional and Boolean Queries","What software is used by 'Lazarus Group' AND was also used in the 'WannaCry' campaign?","MATCH (g:UcoexGROUPS {ucoexNAME: 'Lazarus Group'})-[:UCOEXGROUPUSESSOFTWARE]->(s:UcoexSOFTWARE)<-[:UCOEXCAMPAIGNUSESSOFTWARE]-(c:UcoexCAMPAIGNS {ucoexNAME: 'WannaCry'}) RETURN s.ucoexNAME"
"Conditional and Boolean Queries","Show me all CVEs with an impact score above 9.0 but an exploitability score below 3.0.","MATCH (c:UcoCVE) WHERE toFloat(c.ucoimpactScore) > 9.0 AND toFloat(c.ucoexploitabilityScore) < 3.0 RETURN c.label, c.ucoimpactScore, c.ucoexploitabilityScore"
"Conditional and Boolean Queries","List vulnerabilities published in 2023.","MATCH (v:UcoVulnerability) WHERE v.ucopublishedDateTime >= '2023-01-01T00:00:00' AND v.ucopublishedDateTime < '2024-01-01T00:00:00' RETURN v.uri, v.ucopublishedDateTime"
"Conditional and Boolean Queries","Find CAPEC patterns that require 'High' skill level AND have 'High' severity.","MATCH (ca:UcoexCAPEC {ucoexSeverity: 'High'}) WHERE ANY(skill IN ca.ucoexSkills_Required WHERE skill CONTAINS 'Level:High') RETURN ca.ucoexCAPEC_name"
"Conditional and Boolean Queries","What ATT&CK techniques are used by 'APT28' but NOT by 'APT29'?","MATCH (g1:UcoexGROUPS {ucoexNAME: 'APT28'})-[:UCOEXGROUPUSESTECHNIQUE]->(t:UcoexMITREATTACK) WHERE NOT EXISTS { (g2:UcoexGROUPS {ucoexNAME: 'APT29'})-[:UCOEXGROUPUSESTECHNIQUE]->(t) } RETURN t.ucoexNAME"
"Conditional and Boolean Queries","Pull all CVEs that are either 'Analyzed' or 'Modified' and have a 'HIGH' severity.","MATCH (c:UcoCVE {ucobaseSeverity: 'HIGH'}) WHERE c.ucovulnStatus = 'Analyzed' OR c.ucovulnStatus = 'Modified' RETURN c.label, c.ucovulnStatus"
"Conditional and Boolean Queries","Find all CPEs that are related to 'windows' or 'linux' products.","MATCH (p:UcoexCPE) WHERE p.titles CONTAINS 'windows' OR p.titles CONTAINS 'linux' RETURN p.cpeName, p.titles"
"Conditional and Boolean Queries","Find techniques used by 'Sandworm Team' for which mitigations exist.","MATCH (g:UcoexGROUPS {ucoexNAME: 'Sandworm Team'})-[:UCOEXGROUPUSESTECHNIQUE]->(t:UcoexMITREATTACK)<-[:UCOEXMITIGATES]-(m:UcoexMITIGATIONS) RETURN DISTINCT t.ucoexNAME"
"Conditional and Boolean Queries","Find weaknesses (CWEs) that mention 'SQL injection' in either their summary or description.","MATCH (w:UcoCWE) WHERE w.ucocweSummary CONTAINS 'SQL injection' OR w.ucodescription CONTAINS 'SQL injection' RETURN w.ucocweID, w.ucocweName"
"Conditional and Boolean Queries","List all campaigns that are NOT attributed to any known threat group.","MATCH (c:UcoexCAMPAIGNS) WHERE NOT (c)-[:UCOEXATTRIBUTEDTO]->(:UcoexGROUPS) RETURN c.ucoexNAME"
"Conditional and Boolean Queries","Are there any 'High' severity CAPEC patterns that have a 'Low' likelihood of attack?","MATCH (ca:UcoexCAPEC {ucoexSeverity: 'High', ucoexLikelihood: 'Low'}) RETURN ca.ucoexCAPEC_name"
"Conditional and Boolean Queries","Show 'MEDIUM' severity CVEs with an impact score over 7.0 that DO require user interaction.","MATCH (c:UcoCVE {ucobaseSeverity: 'MEDIUM', ucouserInteractionRequired: 'true'}) WHERE toFloat(c.ucoimpactScore) > 7.0 RETURN c.label"
