question,category,gold_cypher,generated_cypher,kg_valid,pass_at_1,output_jaccard,jaro_winkler,token_jaccard,rouge_l,token_f1,bleu_4,jarou_factor,gold_error,gen_error
Pull the record for CVE-2021-44228.,Node Lookup Queries,MATCH (c:UcoCVE {label: 'CVE-2021-44228'}) RETURN c,MATCH (c:UcoCVE {label: 'CVE-2021-44228'}) RETURN c,1,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,
Get the name and description for CWE-89.,Node Lookup Queries,"MATCH (c:UcoCWE {ucocweID: 'CWE-89'}) RETURN c.ucocweName, c.ucodescription","MATCH (c:UcoCWE {ucocweID: 'CWE-89'}) RETURN c.ucocweName, c.ucodescription",1,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,
Show me all data on the 'SolarWinds Orion' campaign.,Node Lookup Queries,MATCH (c:UcoexCAMPAIGNS {ucoexNAME: 'SolarWinds Orion'}) RETURN c,MATCH (c:UcoexCAMPAIGNS {ucoexNAME: 'SolarWinds Orion'}) RETURN c,0,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,
What's the description and domain for the 'Phishing' ATT&CK technique?,Node Lookup Queries,"MATCH (t:UcoexMITREATTACK {ucoexNAME: 'Phishing'}) RETURN t.ucoexDESCRIPTION, t.ucoexDOMAIN","MATCH (t:UcoexMITREATTACK {ucoexNAME: 'Phishing'})-[:UCOEXHAS]->(n) RETURN t.ucoexDESCRIPTION, n.domain AS domain",1,0,0.0,0.8863281333387096,0.5833333333333334,0.6666666666666666,0.7368421052631579,0.35556702356686953,0.7632789684228447,,
Pull the entry for the 'Mimikatz' tool.,Node Lookup Queries,MATCH (s:UcoexSOFTWARE {ucoexNAME: 'Mimikatz'}) RETURN s,MATCH (s:UcoexSOFTWARE {ucoexNAME: 'Mimikatz'}) RETURN s.ucoexDESCRIPTION,1,0,0.0,0.9534246575342465,0.8571428571428571,0.9333333333333333,0.923076923076923,0.8408964152537145,0.936611637981501,,
What campaigns are attributed to the threat actor FIN7?,Node Lookup Queries,MATCH (g:UcoexGROUPS {ucoexNAME: 'FIN7'})<-[:UCOEXATTRIBUTEDTO]-(c:UcoexCAMPAIGNS) RETURN c.ucoexNAME,MATCH (g:UcoexGROUPS {ucoexNAME: 'FIN7'})<-[:UCOEXATTRIBUTEDTO]-(c:UcoexCAMPAIGNS) RETURN c.ucoexNAME,1,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,
Get the name and description for CAPEC-540.,Node Lookup Queries,"MATCH (c:UcoexCAPEC {ucoexCAPEC_id: 'CAPEC-540'}) RETURN c.ucoexCAPEC_name, c.ucoexDescription","MATCH (ca:UcoexCAPEC {ucocaePC_name: 'CAPEC-540'}) 
RETURN ca.ucoexCAPEC_name, ca.ucodescription",1,1,1.0,0.8912151575127825,0.5,0.5454545454545454,0.6666666666666666,0.0,0.7011121232113314,,
List all tracked threat actor groups.,Node Lookup Queries,MATCH (g:UcoexGROUPS) RETURN g.ucoexNAME,MATCH (g:UcoexGROUPS) RETURN DISTINCT g.ucoexNAME AS groupNames,1,0,0.0,0.906984126984127,0.625,0.8,0.7692307692307693,0.3549481056010052,0.8254049654049656,,
What's the description for the 'User Account Control' mitigation?,Node Lookup Queries,MATCH (m:UcoexMITIGATIONS {ucoexNAME: 'User Account Control'}) RETURN m.ucoexDESCRIPTION,"MATCH (m:UcoexMITIGATIONS {ucoexNAME: ""User Account Control""})-[:UCOEXMITIGATES]->(t:UcoexMITREATTACK) RETURN t.description LIMIT 1",1,0,0.0,0.8830636732036223,0.5333333333333333,0.64,0.6956521739130435,0.41374412020518814,0.7395719490388887,,
"Show me vulnerability summaries for everything published on March 14, 2017.",Node Lookup Queries,MATCH (v:UcoVulnerability) WHERE v.ucopublishedDateTime = datetime('2017-03-14T00:00:00Z') RETURN v.ucosummary,MATCH (v:UcoVulnerability)-[:has]->(publishedDate) WHERE date(publishedDate).year = 2017 AND date(publishedDate).month = 3 AND date(publishedDate).day = 14 RETURN v.ucosummary,1,1,1.0,0.8102525559546836,0.3181818181818182,0.4210526315789474,0.4827586206896552,0.0,0.5713546027410954,,
Show me campaigns linked to the Lazarus Group.,Relationship Traversal Queries,MATCH (g:UcoexGROUPS {ucoexNAME: 'Lazarus Group'})<-[:UCOEXATTRIBUTEDTO]-(c:UcoexCAMPAIGNS) RETURN c.ucoexNAME,MATCH (g:UcoexGROUPS {ucoexNAME: 'Lazarus Group'})<-[:UCOEXATTRIBUTEDTO]-(c:UcoexCAMPAIGNS) RETURN c.ucoexNAME,1,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,
What MITRE ATT&CK TTPs are associated with FIN7?,Relationship Traversal Queries,MATCH (g:UcoexGROUPS {ucoexNAME: 'FIN7'})-[:UCOEXGROUPUSESTECHNIQUE]->(t:UcoexMITREATTACK) RETURN t.ucoexNAME,MATCH (:UcoexGROUPS {ucoexNAME: 'FIN7'})-[:UCOEXGROUPUSESTECHNIQUE]->(t:UcoexMITREATTACK)<-[:UCOEXMITIGATES]-(m:UcoexMITIGATIONS) RETURN m,1,0,0.0,0.9305487492164796,0.6666666666666666,0.6956521739130435,0.7999999999999999,0.44833867003844585,0.8087336410431742,,
What CVE identifier corresponds to the 'EternalBlue' vulnerability?,Relationship Traversal Queries,MATCH (v:UcoVulnerability {uri: 'vuln-eternalblue'})-[:UCOHASCVE_ID]->(c:UcoCVE) RETURN c.label,"MATCH (w:UcoCWE {ucocweID: ""CWE-79""} )<-[:UCOHASOBSERVEDEXAMPLE]->(o:UcoexObservedExample)<-[:UCOEXEXAMPLEOBSERVEDIN]->(cve:UcoCVE) RETURN cve.label",1,0,0.0,0.7595041371987258,0.19047619047619047,0.2962962962962963,0.32,0.0,0.4586001444983407,,
What ATT&CK techniques does 'Network Segmentation' help defend against?,Relationship Traversal Queries,MATCH (m:UcoexMITIGATIONS {ucoexNAME: 'Network Segmentation'})-[:UCOEXMITIGATES]->(t:UcoexMITREATTACK) RETURN t.ucoexNAME,MATCH (t:UcoexMITREATTACK)-[:UCOEXHASTAXONOMYMAPPING]->(ap:UcoexCAPEC {ucoexCAPEC_name: 'CAPEC-112'})<-[:UCOHASCWE_ID]-(v:UcoVulnerability|UcoCVE) WHERE v.baseSeverity = 'Network Segmentation' RETURN DISTINCT t.ucoexNAME,1,0,0.0,0.7976048222003185,0.30434782608695654,0.3529411764705882,0.4666666666666667,0.0,0.5390708884458578,,
What tools or malware were utilized in the WannaCry attack?,Relationship Traversal Queries,MATCH (c:UcoexCAMPAIGNS {ucoexNAME: 'WannaCry Ransomware Attack'})-[:UCOEXCAMPAIGNUSESSOFTWARE]->(s:UcoexSOFTWARE) RETURN s.ucoexNAME,MATCH (c:UcoexCAMPAIGNS {ucoexNAME: 'WannaCry'})-[:UCOEXCAMPAIGNUSESMALWARE]->(m:UcoexMALWARE) RETURN m.ucoexNAME,0,1,1.0,0.8942080202574089,0.42857142857142855,0.5833333333333334,0.6,0.3181877033696365,0.6925137845302474,,
What CWEs are related to the 'CAPEC-115' attack pattern?,Relationship Traversal Queries,"MATCH (capec:UcoexCAPEC {ucoexCAPEC_id: 'CAPEC-115'})-[:UCOEXHASRELATEDWEAKNESS]->(cwe:UcoCWE) RETURN cwe.ucocweID, cwe.ucocweName","MATCH (ca:UcoexCAPEC {ucoexCAPEC_name: ""CAPEC-115""})-[:UCOEXHASRELATEDWEAKNESS]->(w:UcoCWE) RETURN w.ucocweID",1,1,1.0,0.8633256880733946,0.5714285714285714,0.6153846153846153,0.7272727272727273,0.0,0.7353276769102456,,
What D3FEND countermeasures map to ATT&CK technique T1003?,Relationship Traversal Queries,MATCH (d:UcoexMITRED3FEND)-[:UCOEXHASMITREATTACK]->(t:UcoexMITREATTACK {ucoexNAME: 'T1003'}) RETURN d.ucoexMITRED3FEND_LABEL,"MATCH (d:UcoexMITRED3FEND)-[:UCOEXHASMITREATTACK]->(t:UcoexMITREATTACK {ucoexMITREATTACK_NAME: ""T1059""}) RETURN d.ucoexMITRED3FEND_LABEL AS countermeasure",0,1,1.0,0.9160592096075967,0.5714285714285714,0.7500000000000001,0.7272727272727272,0.48442732379638637,0.7977773122934413,,
What products or platforms (CPEs) are affected by CVE-2021-44228?,Relationship Traversal Queries,MATCH (:UcoCVE {label: 'CVE-2021-44228'})-[:UCOEXHASCPE]->(cpe:UcoexCPE) RETURN cpe.cpeName,MATCH (c:UcoCVE {label: 'CVE-2021-44228'})-[:UCOEXHASCPE]->(cpe:UcoexCPE) RETURN cpe.uri,1,0,0.0,0.971953046953047,0.7692307692307693,0.8799999999999999,0.8695652173913043,0.7539221180326288,0.9071727547814503,,
Show me real-world examples observed for CWE-79.,Relationship Traversal Queries,MATCH (:UcoCWE {ucocweID: 'CWE-79'})-[:UCOHASOBSERVEDEXAMPLE]->(ex:UcoexObservedExample) RETURN ex.ucoexDESCRIPTION,MATCH (w:UcoCWE {ucocweID: 'CWE-79'})-[:UCOHASOBSERVEDEXAMPLE]->(o:UcoexObservedExample) RETURN o.ucodescription AS exampleDescription,1,0,0.0,0.8841703688913294,0.5333333333333333,0.64,0.6956521739130435,0.3161487584488943,0.7399408476014576,,
What tools are used by the threat actors behind the SolarWinds campaign?,Multi-hop Queries,MATCH (g:UcoexGROUPS)<-[:UCOEXATTRIBUTEDTO]-(:UcoexCAMPAIGNS {ucoexNAME: 'SolarWinds Orion Attack'})-[:UCOEXGROUPUSESSOFTWARE]->(s:UcoexSOFTWARE) RETURN s.ucoexNAME,MATCH p = (:UcoexCAMPAIGNS {ucoexNAME: 'SolarWinds Orion Attack'})-[:UCOEXCAMPAIGNUSESSOFTWARE]->(:UcoexSOFTWARE)-[:UCOEXGROUPUSESSOFTWARE]->(g:UcoexGROUPS)-[:UCOEXGROUPUSESTECHNIQUE]->(:UcoexMITREATTACK)-[:UCOEXMITIGATES]->(:UcoexMITIGATIONS) RETURN DISTINCT g.ucoexNAME,0,1,1.0,0.8149842954125744,0.55,0.5142857142857143,0.7096774193548387,0.23588448106534207,0.6796491430177092,,
Which CVEs were exploited during the WannaCry campaign?,Multi-hop Queries,MATCH (:UcoexCAMPAIGNS {ucoexNAME: 'WannaCry Ransomware Attack'})-[:UCOEXCAMPAIGNUSESTECHNIQUE]->(t:UcoexMITREATTACK)<-[:UCOEXHASTAXONOMYMAPPING]-(:UcoexCAPEC)-[:UCOEXHASRELATEDWEAKNESS]->(:UcoCWE)<-[:UCOHASWEAKNESS]-(et:UcoExploitTarget)-[:UCOHASVULNERABILITY]->(v:UcoVulnerability)-[:UCOHASCVE_ID]->(cve:UcoCVE) RETURN cve.label,"MATCH (campaign:UcoexCAMPAIGNS {name: ""WannaCry""})-[:UCOEXCAMPAIGNUSESTECHNIQUE]->(technique:UcoexMITREATTACK)<-[:UCOEXHASTAXONOMYMAPPING]-(:UcoexCAPEC)-[:UCOEXHASRELATEDWEAKNESS]->(:UcoCWE)<-[:UCOHASWEAKNESS]-(et:UcoExploitTarget)-[:UCOHASVULNERABILITY]->(v:UcoVulnerability)-[:UCOHASCVE_ID]->(cve:UcoCVE) RETURN DISTINCT cve.label",0,1,1.0,0.8815298958070042,0.7142857142857143,0.8399999999999999,0.8333333333333334,0.6342834010525137,0.8516210763801125,,
Which threat actors use TTPs that 'Network Segmentation' can block?,Multi-hop Queries,MATCH (g:UcoexGROUPS)-[:UCOEXGROUPUSESTECHNIQUE]->(t:UcoexMITREATTACK)<-[:UCOEXMITIGATES]-(:UcoexMITIGATIONS {ucoexNAME: 'Network Segmentation'}) RETURN g.ucoexNAME,MATCH (g:UcoexGROUPS)-[:UCOEXGROUPUSESTECHNIQUE]->(t:UcoexMITREATTACK)<-[:UCOEXHASTAXONOMYMAPPING]-(:UcoexCAPEC)-[:UCOEXHASRELATEDWEAKNESS]->(:UcoCWE)<-[:UCOHASWEAKNESS]-(:UcoExploitTarget)-[:UCOHASVULNERABILITY]->(:UcoVulnerability {impactScore: 'Network Segmentation'}) RETURN g.ucoexNAME,0,0,0.0,0.8567167788057191,0.47619047619047616,0.6470588235294117,0.6451612903225806,0.4154794556635241,0.7163122975525704,,
Show TTPs used by APT28 and their corresponding CAPEC attack patterns.,Multi-hop Queries,"MATCH (:UcoexGROUPS {ucoexNAME: 'APT28'})-[:UCOEXGROUPUSESTECHNIQUE]->(t:UcoexMITREATTACK)<-[:UCOEXHASTAXONOMYMAPPING]-(c:UcoexCAPEC) RETURN t.ucoexNAME, c.ucoexCAPEC_name","MATCH (g:UcoexGROUPS {ucoexNAME: 'APT28'})-[:UCOEXGROUPUSESTECHNIQUE]->(t:UcoexMITREATTACK)-[:UCOEXHASTAXONOMYMAPPING]->(ca:UcoexCAPEC) RETURN t.ucoexNAME, ca.capecId",1,0,0.0,0.951106134509167,0.6666666666666666,0.7741935483870969,0.8,0.5423782837718303,0.8417665609654214,,
"Find vulnerabilities that share the same weakness type (CWE) as CVE-2017-0144, based on observed incidents.",Multi-hop Queries,MATCH (:UcoCVE {label: 'CVE-2017-0144'})<-[:UCOEXEXAMPLEOBSERVEDIN]-(:UcoexObservedExample)<-[:UCOHASOBSERVEDEXAMPLE]-(w:UcoCWE)<-[:UCOHASWEAKNESS]-(:UcoExploitTarget)-[:UCOHASVULNERABILITY]->(v:UcoVulnerability) RETURN v.ucosummary,"Here is the valid and executable Cypher query:

MATCH (:UcoCVE {label: 'CVE-2017-0144'})<-[:UCOEXEXAMPLEOBSERVEDIN]-(:UcoexObservedExample)<-[:UCOHASOBSERVEDEXAMPLE]-(w:UcoCWE)<-[:UCOHASWEAKNESS]-(:UcoExploitTarget)-[:UCOHASVULNERABILITY]->(v:UcoVulnerability) 
RETURN v.ucosummary",0,0,0.0,0.7780811551519614,0.6923076923076923,0.8260869565217391,0.8181818181818181,0.6855303107442261,0.8074499766185061,,"{code: Neo.ClientError.Statement.SyntaxError} {message: Invalid input 'Here': expected
  ""ALTER""
  ""CALL""
  ""CREATE""
  ""DEALLOCATE""
  ""DELETE""
  ""DENY""
  ""DETACH""
  ""DROP""
  ""DRYRUN""
  ""ENABLE""
  ""FINISH""
  ""FOREACH""
  ""GRANT""
  ""INSERT""
  ""LOAD""
  ""MATCH""
  ""MERGE""
  ""NODETACH""
  ""OPTIONAL""
  ""REALLOCATE""
  ""REMOVE""
  ""RENAME""
  ""RETURN""
  ""REVOKE""
  ""SET""
  ""SHOW""
  ""START""
  ""STOP""
  ""TERMINATE""
  ""UNWIND""
  ""USE""
  ""USING""
  ""WITH"" (line 1, column 1 (offset: 0))
""Here is the valid and executable Cypher query:""
 ^}"
What mitigations exist for the TTPs associated with FIN7's known toolset?,Multi-hop Queries,MATCH (:UcoexGROUPS {ucoexNAME: 'FIN7'})-[:UCOEXGROUPUSESSOFTWARE]->(:UcoexSOFTWARE)-[:UCOEXSOFTWAREUSESTECHNIQUE]->(t:UcoexMITREATTACK)<-[:UCOEXMITIGATES]-(m:UcoexMITIGATIONS) RETURN m.ucoexNAME,MATCH (:UcoexGROUPS {ucoexNAME: 'FIN7'})-[:UCOEXGROUPUSESSOFTWARE]->(:UcoexSOFTWARE)-[:UCOEXSOFTWAREUSESTECHNIQUE]->(t:UcoexMITREATTACK)<-[:UCOEXMITIGATES]-(m:UcoexMITIGATIONS) RETURN m.ucoexNAME,1,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,
Which campaigns leverage tools that rely on the 'PowerShell' TTP?,Multi-hop Queries,MATCH (c:UcoexCAMPAIGNS)-[:UCOEXCAMPAIGNUSESSOFTWARE]->(:UcoexSOFTWARE)-[:UCOEXSOFTWAREUSESTECHNIQUE]->(:UcoexMITREATTACK {ucoexNAME: 'PowerShell'}) RETURN c.ucoexNAME,MATCH (c:UcoexCAMPAIGNS)-[:UCOEXCAMPAIGNUSESTECHNIQUE]->(t:UcoexMITREATTACK)<-[:UCOEXHASTAXONOMYMAPPING]-(:UcoexCAPEC)-[:UCOEXHASRELATEDWEAKNESS]->(:UcoCWE)<-[:UCOHASWEAKNESS]-(:UcoExploitTarget)-[:UCOHASVULNERABILITY]->(s:UcoVulnerability {ucoexNAME: 'PowerShell'})<-[:UCOEXHASCVE_ID]-(c) RETURN c.ucoexNAME,0,1,1.0,0.8311150863757307,0.3181818181818182,0.5294117647058824,0.48275862068965514,0.0,0.6144284905904227,,
Which threat actors have TTP overlap with the SolarWinds campaign?,Multi-hop Queries,MATCH (:UcoexCAMPAIGNS {ucoexNAME: 'SolarWinds Orion Attack'})-[:UCOEXCAMPAIGNUSESTECHNIQUE]->(t:UcoexMITREATTACK)<-[:UCOEXGROUPUSESTECHNIQUE]-(g:UcoexGROUPS) RETURN g.ucoexNAME,"MATCH (g:UcoexGROUPS)-[:UCOEXGROUPUSESTECHNIQUE]->(t:UcoexMITREATTACK)<-[:UCOEXHASTAXONOMYMAPPING]-(:UcoexCAPEC)-[:UCOEXHASRELATEDWEAKNESS]->(:UcoCWE)<-[:UCOHASWEAKNESS]-(:UcoExploitTarget)-[:UCOHASVULNERABILITY]->(c:UcoVulnerability)-[:UCOHASCVE_ID]->(sw:UcoCVE {ucoBaseSeverity: 'CRITICAL'}), p = (sw:UcoexCAMPAIGNS {ucoexNAME: 'SolarWinds Orion Attack'})-[*]-(:UcoexSOFTWARE) WHERE EXISTS(p) RETURN DISTINCT g.ucoexNAME",0,0,0.0,0.7719124573715304,0.375,0.36,0.5454545454545454,0.14707593284281362,0.5591223342753585,,"{code: Neo.ClientError.Statement.SyntaxError} {message: Argument to EXISTS(...) is not a pattern (line 1, column 393 (offset: 392))
""MATCH (g:UcoexGROUPS)-[:UCOEXGROUPUSESTECHNIQUE]->(t:UcoexMITREATTACK)<-[:UCOEXHASTAXONOMYMAPPING]-(:UcoexCAPEC)-[:UCOEXHASRELATEDWEAKNESS]->(:UcoCWE)<-[:UCOHASWEAKNESS]-(:UcoExploitTarget)-[:UCOHASVULNERABILITY]->(c:UcoVulnerability)-[:UCOHASCVE_ID]->(sw:UcoCVE {ucoBaseSeverity: 'CRITICAL'}), p = (sw:UcoexCAMPAIGNS {ucoexNAME: 'SolarWinds Orion Attack'})-[*]-(:UcoexSOFTWARE) WHERE EXISTS(p) RETURN DISTINCT g.ucoexNAME""
                                                                                                                                                                                                                                                                                                                                                                                                         ^}"
What underlying weaknesses (CWEs) are associated with 'Phishing' via CAPEC patterns?,Multi-hop Queries,MATCH (:UcoexMITREATTACK {ucoexNAME: 'Phishing'})<-[:UCOEXHASTAXONOMYMAPPING]-(:UcoexCAPEC)-[:UCOEXHASRELATEDWEAKNESS]->(cwe:UcoCWE) RETURN cwe.ucocweID,"Here is the Cypher query:


MATCH (ap:UcoexCAPEC {ucoexCAPEC_name: 'Phishing'})-[:UCOEXHASRELATEDWEAKNESS]->(w:UcoCWE) RETURN w.ucocweID",0,0,0.0,0.6669811784362868,0.3684210526315789,0.42857142857142855,0.5384615384615385,0.0,0.5446713818230847,,"{code: Neo.ClientError.Statement.SyntaxError} {message: Invalid input 'Here': expected
  ""ALTER""
  ""CALL""
  ""CREATE""
  ""DEALLOCATE""
  ""DELETE""
  ""DENY""
  ""DETACH""
  ""DROP""
  ""DRYRUN""
  ""ENABLE""
  ""FINISH""
  ""FOREACH""
  ""GRANT""
  ""INSERT""
  ""LOAD""
  ""MATCH""
  ""MERGE""
  ""NODETACH""
  ""OPTIONAL""
  ""REALLOCATE""
  ""REMOVE""
  ""RENAME""
  ""RETURN""
  ""REVOKE""
  ""SET""
  ""SHOW""
  ""START""
  ""STOP""
  ""TERMINATE""
  ""UNWIND""
  ""USE""
  ""USING""
  ""WITH"" (line 1, column 1 (offset: 0))
""Here is the Cypher query:""
 ^}"
