Category,NaturalLanguageQuestion,CypherQuery
"Node Lookup Queries","Find a specific CVE by its label, for example, 'CVE-2021-44228'.","MATCH (c:UcoCVE {label: 'CVE-2021-44228'}) RETURN c"
"Node Lookup Queries","Retrieve the details of the CWE with the ID 'CWE-89'.","MATCH (c:UcoCWE {ucocweID: 'CWE-89'}) RETURN c.ucocweName, c.ucodescription"
"Node Lookup Queries","Find information about the attack campaign named 'SolarWinds Orion'.","MATCH (c:UcoexCAMPAIGNS {ucoexNAME: 'SolarWinds Orion'}) RETURN c"
"Node Lookup Queries","Get the details for the MITRE ATT&CK technique named 'Phishing'.","MATCH (t:UcoexMITREATTACK {ucoexNAME: 'Phishing'}) RETURN t.ucoexDESCRIPTION, t.ucoexDOMAIN"
"Node Lookup Queries","Find the software known as 'Mimikatz'.","MATCH (s:UcoexSOFTWARE {ucoexNAME: 'Mimikatz'}) RETURN s"
"Node Lookup Queries","Retrieve all campaigns associated with the 'FIN7' group.","MATCH (g:UcoexGROUPS {ucoexNAME: 'FIN7'}) RETURN g"
"Node Lookup Queries","Find the CAPEC pattern with the ID 'CAPEC-540'.","MATCH (c:UcoexCAPEC {ucoexCAPEC_id: 'CAPEC-540'}) RETURN c.ucoexCAPEC_name, c.ucoexDescription"
"Node Lookup Queries","List all tactics from the 'mitre-attack' domain.","MATCH (t:UcoexTACTICS {ucoexDOMAIN: 'mitre-attack'}) RETURN t.ucoexNAME"
"Node Lookup Queries","Find a mitigation by its name, for example 'Access Token Manipulation'.","MATCH (m:UcoexMITIGATIONS {ucoexNAME: 'Access Token Manipulation'}) RETURN m.ucoexDESCRIPTION"
"Node Lookup Queries","Get the definition for the MITRE D3FEND technique labeled 'T1566'.","MATCH (d:UcoexMITRED3FEND {ucoexMITRED3FEND_LABEL: 'T1566'}) RETURN d.ucoexMITRED3FEND_DEFINITION"
"Relationship Traversal Queries (1-hop)","What software is used by the group 'APT28'?","MATCH (g:UcoexGROUPS {ucoexNAME: 'APT28'})-[:UCOEXGROUPUSESSOFTWARE]->(s:UcoexSOFTWARE) RETURN s.ucoexNAME"
"Relationship Traversal Queries (1-hop)","Which MITRE ATT&CK techniques are mitigated by 'User Account Control'?","MATCH (m:UcoexMITIGATIONS {ucoexNAME: 'User Account Control'})-[:UCOEXMITIGATES]->(t:UcoexMITREATTACK) RETURN t.ucoexNAME"
"Relationship Traversal Queries (1-hop)","Which weaknesses are related to the CAPEC pattern 'CAPEC-115'?","MATCH (c:UcoexCAPEC {ucoexCAPEC_id: 'CAPEC-115'})-[:UCOEXHASRELATEDWEAKNESS]->(w:UcoCWE) RETURN w.ucocweID, w.ucocweName"
"Relationship Traversal Queries (1-hop)","What vulnerabilities are associated with the CVE ID 'CVE-2017-0144'?","MATCH (v:UcoVulnerability)-[:UCOHASCVE_ID]->(c:UcoCVE {label: 'CVE-2017-0144'}) RETURN v.ucosummy"
"Relationship Traversal Queries (1-hop)","List the techniques used in the 'Operation ShadowHammer' campaign.","MATCH (c:UcoexCAMPAIGNS {ucoexNAME: 'Operation ShadowHammer'})-[:UCOEXCAMPAIGNUSESTECHNIQUE]->(t:UcoexMITREATTACK) RETURN t.ucoexNAME"
"Relationship Traversal Queries (1-hop)","To which groups is the 'Stuxnet' campaign attributed?","MATCH (c:UcoexCAMPAIGNS {ucoexNAME: 'Stuxnet'})-[:UCOEXATTRIBUTEDTO]->(g:UcoexGROUPS) RETURN g.ucoexNAME"
"Relationship Traversal Queries (1-hop)","What are the observed examples for the weakness 'CWE-787'?","MATCH (w:UcoCWE {ucocweID: 'CWE-787'})-[:UCOHASOBSERVEDEXAMPLE]->(e:UcoexObservedExample) RETURN e.ucoexDESCRIPTION"
"Relationship Traversal Queries (1-hop)","Find all CPEs associated with 'CVE-2021-26855'.","MATCH (c:UcoCVE {label: 'CVE-2021-26855'})-[:UCOEXHASCPE]->(p:UcoexCPE) RETURN p.cpeName"
"Relationship Traversal Queries (1-hop)","What software does the 'Lazarus Group' use?","MATCH (g:UcoexGROUPS {ucoexNAME: 'Lazarus Group'})-[:UCOEXGROUPUSESSOFTWARE]->(s:UcoexSOFTWARE) RETURN s.ucoexNAME"
"Relationship Traversal Queries (1-hop)","Which MITRE ATT&CK techniques are associated with the software 'Cobalt Strike'?","MATCH (s:UcoexSOFTWARE {ucoexNAME: 'Cobalt Strike'})-[:UCOEXSOFTWAREUSESTECHNIQUE]->(t:UcoexMITREATTACK) RETURN t.ucoexNAME"
"Multi-hop Queries","What are the names of groups that use software which in turn uses the 'T1566' technique?","MATCH (g:UcoexGROUPS)-[:UCOEXGROUPUSESSOFTWARE]->(s:UcoexSOFTWARE)-[:UCOEXSOFTWAREUSESTECHNIQUE]->(t:UcoexMITREATTACK {ucoexNAME: 'T1566'}) RETURN g.ucoexNAME"
"Multi-hop Queries","Find the names of campaigns that use techniques related to the 'CWE-79' weakness.","MATCH (campaign:UcoexCAMPAIGNS)-[:UCOEXCAMPAIGNUSESTECHNIQUE]->(technique:UcoexMITREATTACK)<-[:UCOEXHASTAXONOMYMAPPING]-(capec:UcoexCAPEC)-[:UCOEXHASRELATEDWEAKNESS]->(cwe:UcoCWE {ucocweID: 'CWE-79'}) RETURN DISTINCT campaign.ucoexNAME"
"Multi-hop Queries","What are the common consequences of weaknesses found in exploit targets that have the vulnerability 'CVE-2021-44228'?","MATCH (cve:UcoCVE {label: 'CVE-2021-44228'})<-[:UCOHASCVE_ID]-(vuln:UcoVulnerability)<-[:UCOHASVULNERABILITY]-(target:UcoExploitTarget)-[:UCOHASWEAKNESS]->(cwe:UcoCWE) RETURN cwe.ucocommonConsequences"
"Multi-hop Queries","List all techniques used by campaigns attributed to the 'Lazarus Group'.","MATCH (g:UcoexGROUPS {ucoexNAME: 'Lazarus Group'})<-[:UCOEXATTRIBUTEDTO]-(c:UcoexCAMPAIGNS)-[:UCOEXCAMPAIGNUSESTECHNIQUE]->(t:UcoexMITREATTACK) RETURN DISTINCT t.ucoexNAME"
"Multi-hop Queries","Which groups use techniques that are mitigated by 'Multi-Factor Authentication'?","MATCH (g:UcoexGROUPS)-[:UCOEXGROUPUSESTECHNIQUE]->(t:UcoexMITREATTACK)<-[:UCOEXMITIGATES]-(m:UcoexMITIGATIONS {ucoexNAME: 'Multi-Factor Authentication'}) RETURN g.ucoexNAME"
"Multi-hop Queries","Find weaknesses related to CAPEC patterns that map to the 'TA0002' tactic.","MATCH (tactic:UcoexTACTICS {ucoexNAME: 'TA0002'})<-[:UCOEXHASTAXONOMYMAPPING]-(capec:UcoexCAPEC)-[:UCOEXHASRELATEDWEAKNESS]->(cwe:UcoCWE) RETURN cwe.ucocweID, cwe.ucocweName"
"Multi-hop Queries","What software is used by campaigns that are attributed to groups using the 'T1059' technique?","MATCH (group:UcoexGROUPS)-[:UCOEXGROUPUSESTECHNIQUE]->(technique:UcoexMITREATTACK {ucoexNAME: 'T1059'}), (group)<-[:UCOEXATTRIBUTEDTO]-(campaign:UcoexCAMPAIGNS)-[:UCOEXCAMPAIGNUSESSOFTWARE]->(software:UcoexSOFTWARE) RETURN DISTINCT software.ucoexNAME"
"Multi-hop Queries","Retrieve the descriptions of mitigations for techniques used by the 'Sandworm Team' group.","MATCH (g:UcoexGROUPS {ucoexNAME: 'Sandworm Team'})-[:UCOEXGROUPUSESTECHNIQUE]->(t:UcoexMITREATTACK)<-[:UCOEXMITIGATES]-(m:UcoexMITIGATIONS) RETURN m.ucoexDESCRIPTION"
"Multi-hop Queries","What are the D3FEND definitions for techniques used by software associated with 'CVE-2020-0601'?","MATCH (c:UcoCVE {label: 'CVE-2020-0601'})-[:UCOEXHASCPE]->(cpe:UcoexCPE)<-[:UCOEXHASCPE]-(s:UcoexSOFTWARE)-[:UCOEXSOFTWAREUSESTECHNIQUE]->(t:UcoexMITREATTACK)<-[:UCOEXHASMITREATTACK]-(d:UcoexMITRED3FEND) RETURN d.ucoexMITRED3FEND_DEFINITION"
"Multi-hop Queries","Find all techniques and the software that uses them, for campaigns attributed to 'APT38'.","MATCH (g:UcoexGROUPS {ucoexNAME: 'APT38'})<-[:UCOEXATTRIBUTEDTO]-(c:UcoexCAMPAIGNS)-[:UCOEXCAMPAIGNUSESSOFTWARE]->(s:UcoexSOFTWARE), (c)-[:UCOEXCAMPAIGNUSESTECHNIQUE]->(t:UcoexMITREATTACK) RETURN s.ucoexNAME, t.ucoexNAME"
"Aggregation and Counting","How many techniques are associated with each MITRE ATT&CK tactic?","MATCH (tactic:UcoexTACTICS)<-[:UCOEXHASTAXONOMYMAPPING]-(technique:UcoexMITREATTACK) RETURN tactic.ucoexNAME, count(technique) AS numberOfTechniques"
"Aggregation and Counting","Count the total number of vulnerabilities in the database.","MATCH (v:UcoVulnerability) RETURN count(v) AS totalVulnerabilities"
"Aggregation and Counting","What is the average exploitability score for CVEs with a 'HIGH' base severity?","MATCH (c:UcoCVE {ucobaseSeverity: 'HIGH'}) RETURN avg(toInteger(c.ucoexploitabilityScore)) AS averageExploitabilityScore"
"Aggregation and Counting","How many distinct groups use the 'T1059' (Command-Line Interface) technique?","MATCH (g:UcoexGROUPS)-[:UCOEXGROUPUSESTECHNIQUE]->(t:UcoexMITREATTACK {ucoexNAME: 'T1059'}) RETURN count(DISTINCT g) AS numberOfGroups"
"Aggregation and Counting","Find the total number of CAPEC patterns.","MATCH (c:UcoexCAPEC) RETURN count(c) AS totalCAPECPatterns"
"Aggregation and Counting","Count the number of campaigns attributed to each group.","MATCH (g:UcoexGROUPS)<-[:UCOEXATTRIBUTEDTO]-(c:UcoexCAMPAIGNS) RETURN g.ucoexNAME, count(c) AS campaignCount"
"Aggregation and Counting","What is the maximum impact score among all CVEs?","MATCH (c:UcoCVE) WHERE c.ucoimpactScore IS NOT NULL RETURN max(toInteger(c.ucoimpactScore)) AS maxImpactScore"
"Aggregation and Counting","How many related weaknesses does each CAPEC pattern have?","MATCH (capec:UcoexCAPEC)-[:UCOEXHASRELATEDWEAKNESS]->(cwe:UcoCWE) RETURN capec.ucoexCAPEC_id, count(cwe) AS weaknessCount ORDER BY weaknessCount DESC"
