ID,Type,Question,Gold_Answer
1,CVE,What is the vulnerability described in CVE-2021-44228?,"CVE-2021-44228, also known as Log4Shell, is a remote code execution vulnerability in the Apache Log4j 2 library. It allows unauthenticated attackers to execute arbitrary code by manipulating log messages."
2,CVE,Which component is affected by CVE-2017-0144?,CVE-2017-0144 affects Microsoft’s SMBv1 server component and is exploited by the EternalBlue exploit. It enables remote code execution via specially crafted packets.
3,CVE,What is the impact of CVE-2022-22965 in Spring applications?,"CVE-2022-22965, or Spring4Shell, allows remote attackers to execute arbitrary code in Spring MVC applications running on Java 9+ under certain conditions. It exploits data binding features in Spring's RequestMappingHandlerAdapter."
4,CVE,What type of vulnerability is CVE-2018-0171 in Cisco IOS?,CVE-2018-0171 is a command injection vulnerability in Cisco IOS XE software due to improper validation of arguments in Smart Install. It allows an unauthenticated attacker to execute arbitrary code on affected devices.
5,CVE,How is CVE-2023-23397 exploited in Microsoft Outlook?,"CVE-2023-23397 is exploited through a specially crafted email that triggers code execution when retrieved and processed by Microsoft Outlook. No user interaction is required, making it a zero-click vulnerability."
6,CVE,Which CWE is CVE-2020-0601 mapped to?,"CVE-2020-0601 maps to CWE-295: Improper Certificate Validation. It impacts Windows CryptoAPI and allows spoofing of ECC certificates, enabling man-in-the-middle attacks."
7,CVE,Is CVE-2021-34527 remotely exploitable?,"Yes, CVE-2021-34527 (PrintNightmare) is remotely exploitable. It affects the Windows Print Spooler service and can allow remote code execution with SYSTEM privileges."
8,CVE,What mitigation was recommended for CVE-2022-30190?,"For CVE-2022-30190 (Follina), Microsoft recommended disabling the MSDT URL protocol as a workaround. This prevents invocation of the vulnerable Microsoft Support Diagnostic Tool."
9,CVE,What attack technique does CVE-2020-0796 enable?,"CVE-2020-0796, known as SMBGhost, enables remote code execution by exploiting a buffer overflow in Microsoft's SMBv3 protocol. It can be used for lateral movement within networks."
10,CVE,Was CVE-2014-0160 considered a confidentiality issue?,"Yes, CVE-2014-0160 (Heartbleed) allowed attackers to read sensitive information from memory, such as private keys and session tokens. This was a severe confidentiality issue in OpenSSL."
11,CWE,What does CWE-287 refer to?,"CWE-287 refers to Improper Authentication, where the system fails to properly verify the identity of users or devices. This can lead to unauthorized access to protected resources."
12,CWE,How does CWE-79 relate to cross-site scripting attacks?,"CWE-79 is the category for Cross-site Scripting (XSS), where untrusted input is injected into a web page without proper validation or encoding. It allows attackers to execute scripts in users' browsers."
13,CWE,Which weakness is CWE-89 and what is its impact?,"CWE-89 refers to SQL Injection, which occurs when user input is improperly sanitized before being included in SQL queries. This allows attackers to execute arbitrary SQL code against a database."
14,CWE,What class of issues does CWE-20 cover?,"CWE-20 covers Improper Input Validation, where a program does not adequately validate input from users or external sources. This can lead to injection, buffer overflows, or unexpected behavior."
15,CWE,What is the core issue described by CWE-22?,"CWE-22, Path Traversal, involves improper restriction of file path inputs, allowing attackers to access files outside the intended directory. It often arises when user input is used to construct file paths."
