"Category","NaturalLanguageQuestion","CypherQuery"
"Node Lookup Queries","What is 'Disk Encryption'?","MATCH (d:UcoexMITRED3FEND {ucoexMITRED3FEND_LABEL: 'Disk Encryption'}) RETURN d.ucoexMITRED3FEND_DEFINITION"
"Node Lookup Queries","What is 'File Encryption'?","MATCH (d:UcoexMITRED3FEND {ucoexMITRED3FEND_LABEL: 'File Encryption'}) RETURN d.ucoexMITRED3FEND_DEFINITION"
"Node Lookup Queries","Tell me about 'Decoy File' as a defense.","MATCH (d:UcoexMITRED3FEND {ucoexMITRED3FEND_LABEL: 'Decoy File'}) RETURN d.ucoexMITRED3FEND_DEFINITION"
"Node Lookup Queries","What does 'Network Traffic Encryption' do?","MATCH (d:UcoexMITRED3FEND {ucoexMITRED3FEND_LABEL: 'Network Traffic Encryption'}) RETURN d.ucoexMITRED3FEND_DEFINITION"
"Node Lookup Queries","Are there any defenses related to 'encrypting' things?","MATCH (d:UcoexMITRED3FEND) WHERE d.ucoexMITRED3FEND_DEFINITION CONTAINS 'encrypting' RETURN d.ucoexMITRED3FEND_LABEL"
"Node Lookup Queries","How can I 'prevent' unauthorized access?","MATCH (d:UcoexMITRED3FEND) WHERE d.ucoexMITRED3FEND_DEFINITION CONTAINS 'prevent' RETURN d.ucoexMITRED3FEND_LABEL, d.ucoexMITRED3FEND_DEFINITION"
"Node Lookup Queries","Show me defenses that talk about limiting 'access'.","MATCH (d:UcoexMITRED3FEND) WHERE d.ucoexMITRED3FEND_DEFINITION CONTAINS 'access' RETURN d.ucoexMITRED3FEND_LABEL"
"Node Lookup Queries","What defenses are related to the 'file system'?","MATCH (d:UcoexMITRED3FEND) WHERE d.ucoexMITRED3FEND_DEFINITION CONTAINS 'file system' RETURN d.ucoexMITRED3FEND_LABEL"
"Node Lookup Queries","Show me defenses related to 'network' security.","MATCH (d:UcoexMITRED3D3FEND) WHERE d.ucoexMITRED3FEND_DEFINITION CONTAINS 'network' RETURN d.ucoexMITRED3FEND_LABEL"
"Node Lookup Queries","Are there defenses for protecting 'traffic'?","MATCH (d:UcoexMITRED3FEND) WHERE d.ucoexMITRED3FEND_DEFINITION CONTAINS 'traffic' RETURN d.ucoexMITRED3FEND_LABEL"
"Node Lookup Queries","What are some ways to defend a system?","MATCH (d:UcoexMITRED3FEND) RETURN d.ucoexMITRED3FEND_LABEL LIMIT 15"
"Node Lookup Queries","Find a defense called 'Application Hardening'.","MATCH (d:UcoexMITRED3FEND {ucoexMITRED3FEND_LABEL: 'Application Hardening'}) RETURN d.ucoexMITRED3FEND_DEFINITION"
