ID,Name
4:b6ba6d0c-60b6-4240-876c-073b14bf0892:825320,BlueSmacking
4:b6ba6d0c-60b6-4240-876c-073b14bf0892:825324,Lifting Sensitive Data Embedded in Cache
4:b6ba6d0c-60b6-4240-876c-073b14bf0892:825325,Counterfeit Hardware Component Inserted During Product Assembly
4:b6ba6d0c-60b6-4240-876c-073b14bf0892:825328,Content Spoofing
4:b6ba6d0c-60b6-4240-876c-073b14bf0892:825331,Token Impersonation
4:b6ba6d0c-60b6-4240-876c-073b14bf0892:825333,Establish Rogue Location
4:b6ba6d0c-60b6-4240-876c-073b14bf0892:825338,Contradictory Destinations in Traffic Routing Schemes
4:b6ba6d0c-60b6-4240-876c-073b14bf0892:825342,Utilizing REST's Trust in the System Resource to Obtain Sensitive Data
4:b6ba6d0c-60b6-4240-876c-073b14bf0892:825344,Hardware Integrity Attack
4:b6ba6d0c-60b6-4240-876c-073b14bf0892:825345,Replace Binaries
4:b6ba6d0c-60b6-4240-876c-073b14bf0892:825352,Cache Poisoning
4:b6ba6d0c-60b6-4240-876c-073b14bf0892:825354,SSL Flood
4:b6ba6d0c-60b6-4240-876c-073b14bf0892:825359,Design for FPGA Maliciously Altered
4:b6ba6d0c-60b6-4240-876c-073b14bf0892:825360,Windows Admin Shares with Stolen Credentials
4:b6ba6d0c-60b6-4240-876c-073b14bf0892:825365,HTTP Flood
4:b6ba6d0c-60b6-4240-876c-073b14bf0892:825366,Malicious Automated Software Update via Spoofing
4:b6ba6d0c-60b6-4240-876c-073b14bf0892:825367,Modify Shared File
4:b6ba6d0c-60b6-4240-876c-073b14bf0892:825372,Evercookie
4:b6ba6d0c-60b6-4240-876c-073b14bf0892:825376,Upload a Web Shell to a Web Server
4:b6ba6d0c-60b6-4240-876c-073b14bf0892:825377,File Manipulation
4:b6ba6d0c-60b6-4240-876c-073b14bf0892:825378,Signature Spoof
4:b6ba6d0c-60b6-4240-876c-073b14bf0892:825379,Sniff Application Code
4:b6ba6d0c-60b6-4240-876c-073b14bf0892:825383,Retrieve Data from Decommissioned Devices
4:b6ba6d0c-60b6-4240-876c-073b14bf0892:825384,Network Topology Mapping
4:b6ba6d0c-60b6-4240-876c-073b14bf0892:825404,Collect Data from Common Resource Locations
4:b6ba6d0c-60b6-4240-876c-073b14bf0892:825409,Malicious Logic Insertion into Product via Inclusion of Third-Party Component
4:b6ba6d0c-60b6-4240-876c-073b14bf0892:825418,XML Flood
4:b6ba6d0c-60b6-4240-876c-073b14bf0892:825420,Forced Deadlock
4:b6ba6d0c-60b6-4240-876c-073b14bf0892:825424,Sustained Client Engagement
4:b6ba6d0c-60b6-4240-876c-073b14bf0892:825427,Symlink Attack
